"idp","XCOORD","YCOORD","xl93","yl93","dc","dep"
814473,1.816542,46.651217,609496,6617472,8,"36"
814494,1.223546,44.991448,560007,6434044,9,"24"
814538,5.196143,48.290664,862868,6801191,0,"52"
814553,4.91629,49.178438,839723,6899328,0,"51"
814563,3.61432,48.642125,745260,6838170,8,"51"
814632,6.074936,44.159646,945876,6344859,0,"4"
814656,3.178357,46.847234,713591,6638579,0,"58"
814673,5.477269,47.581495,886182,6723045,8,"21"
814736,-0.838629,48.246578,415161,6800951,0,"53"
814749,1.275611,44.919996,563936,6426019,0,"24"
814843,2.339101,45.482816,648371,6487256,0,"19"
814889,5.352698,46.792608,879433,6635170,0,"71"
814920,-1.629296,48.366604,357334,6817414,0,"35"
814921,4.616394,46.73764,823412,6627655,0,"71"
815044,5.911949,48.505092,915053,6826726,0,"54"
815047,1.620384,45.678444,592609,6509703,0,"87"
815062,2.548749,43.450312,663458,6261350,0,"81"
815101,2.180697,47.228052,638008,6681183,0,"18"
815170,2.232612,47.695844,642441,6733108,0,"45"
815181,4.122825,47.646199,784296,6727912,0,"89"
815310,5.881701,45.066348,926757,6444926,0,"38"
815351,3.618137,46.591222,747325,6610316,9,"3"
815412,-0.028142,45.205768,462319,6460830,0,"17"
815431,5.591218,47.704381,894295,6736965,0,"52"
815549,2.032768,45.374441,624294,6475468,0,"19"
815582,5.089809,48.832892,853389,6861234,0,"55"
815587,2.013883,48.612613,627308,6835167,0,"75"
815595,5.808166,48.166199,908731,6788805,8,"88"
815596,1.297524,49.183728,575877,6899559,0,"27"
815665,5.508879,49.00234,883540,6880963,8,"55"
815693,0.565736,47.340534,516224,6696189,0,"37"
815818,4.808389,46.3556,839040,6585556,0,"71"
815856,1.547382,47.189474,590014,6677588,0,"36"
815877,4.13604,47.250122,785921,6683931,0,"21"
815923,6.81207,47.627781,986188,6732176,7,"90"
815984,0.612196,45.901434,514898,6536327,0,"16"
816086,2.967178,48.970909,697597,6874552,0,"77"
