SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:56;;;;;;;;
Projet;_Forest resources database;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Calculation: ;Analyser;;;;;;;;;;;;
Results: ;Inventaire;;;;;;;;;;;;
Product: ;1 ha _Oak forest rack making by gyratory crusher, in forest/FR U (of project _Forest resources database);;;;;;;;;;;;
Méthode: ;;;;;;;;;;;;;
Indicateur: ;Inventaire;;;;;;;;;;;;
Unité: ;?;;;;;;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;;;;;;
Per sub-compartment: ;Oui;;;;;;;;;;;;
Default units: ;Non;;;;;;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;;;;;;
Sorted on item: ;Substance;;;;;;;;;;;;
Sort order: ;Croissant;;;;;;;;;;;;
;;;;;;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak forest rack making by gyratory crusher, in forest/FR U;Operation, lorry 3.5-16t, fleet average/RER S;Operation, passenger car, diesel, fleet average/RER S;Diesel, at regional storage/RER S;_Tillage, ploughing/CH U_Air emissions of tractor diesel combustion, in forest/FR U;_Tillage, ploughing/CH U_Soil emissions from tyre abrasion of tractor, in forest/FR U;Tractor, production/CH/I S;Agricultural machinery, general, production/CH/I S
523;Hydrogen peroxide;Eau;river;kg;7.9852E-08;x;4.1847E-10;4.2654E-10;6.23521E-09;x;x;6.19438E-08;1.08281E-08
524;Hydrogen sulfide;Air;;kg;7.54159E-05;x;1.6499E-07;1.68172E-07;4.78001E-06;x;x;2.24543E-05;4.78484E-05
525;Hydrogen sulfide;Air;high. pop.;kg;1.55493E-07;x;3.1354E-10;3.1958E-10;4.24733E-09;x;x;1.40468E-07;1.0145E-08
526;Hydrogen sulfide;Air;low. pop.;kg;0.000168136;x;3.6577E-07;3.7282E-07;1.08128E-05;x;x;5.37398E-05;0.000102845
527;Hydrogen sulfide;Eau;river;kg;7.05026E-06;x;9.4743E-09;9.657E-09;2.72183E-07;x;x;2.06216E-06;4.69678E-06
528;Hydroxide;Eau;river;kg;1.30608E-07;x;1.1519E-09;1.17412E-09;1.3314E-08;x;x;8.46278E-08;3.034E-08
529;Hypochlorite;Eau;ocean;kg;2.52463E-06;x;2.8527E-08;2.9076E-08;8.82587E-07;x;x;8.46918E-07;7.37521E-07
530;Hypochlorite;Eau;river;kg;2.37556E-06;x;2.7216E-08;2.7742E-08;8.43111E-07;x;x;7.82589E-07;6.94897E-07
531;Indium;Brut;in ground;kg;5.35239E-06;x;1.6863E-09;1.7188E-09;1.11338E-08;x;x;4.34048E-06;9.97372E-07
532;Iodide;Eau;groundwater;kg;2.389E-07;x;2.9664E-09;3.0236E-09;9.26355E-08;x;x;7.2228E-08;6.80467E-08
533;Iodide;Eau;ocean;kg;8.70368E-05;x;1.8194E-06;1.85442E-06;7.78672E-05;x;x;3.61769E-06;1.87805E-06
534;Iodide;Eau;river;kg;0.000181122;x;0.000005601;0.000005709;0.000153815;x;x;0.000010388;5.60883E-06
535;Iodine;Brut;in water;kg;4.23738E-08;x;1.2813E-10;1.30602E-10;3.61408E-09;x;x;1.88795E-08;1.96215E-08
536;Iodine;Air;;kg;8.6554E-15;x;4.5381E-17;4.6256E-17;1.15826E-15;x;x;3.51125E-15;3.89425E-15
537;Iodine;Air;high. pop.;kg;1.52037E-07;x;8.0954E-11;8.2514E-11;2.25199E-09;x;x;5.40468E-08;9.55747E-08
538;Iodine;Air;low. pop.;kg;4.0795E-06;x;4.9747E-08;5.0706E-08;1.55253E-06;x;x;1.28119E-06;1.14534E-06
539;Iodine-129;Air;low. pop.;Bq;0.370414949;x;0.0026549;0.002706;0.074853324;x;x;0.138230625;0.1519701
540;Iodine-131;Air;low. pop.;Bq;9.562669267;x;0.12115;0.123482;3.7808316;x;x;2.680916667;2.856289
541;Iodine-131;Eau;river;Bq;0.041587138;x;0.00016165;0.00016477;0.003583616;x;x;0.017368542;0.02030856
542;Iodine-133;Air;low. pop.;Bq;0.00526582;x;0.000012242;1.24778E-05;0.000161487;x;x;0.002298213;0.002781401
543;Iodine-133;Eau;river;Bq;0.006314312;x;0.000012117;1.23504E-05;0.00010305;x;x;0.002782721;0.003404074
544;Iodine-135;Air;low. pop.;Bq;0.001394596;x;7.3118E-06;7.4528E-06;0.000186617;x;x;0.000565731;0.000627483
545;Iron;Brut;in ground;kg;7.994757043;x;0.010137;0.0103322;0.290011176;x;x;2.331116667;5.35316
546;Iron;Air;;kg;7.98156E-06;x;7.0352E-08;7.1708E-08;2.09304E-06;x;x;2.02833E-06;3.71813E-06
547;Iron;Air;high. pop.;kg;6.77661E-05;x;2.5968E-07;2.6468E-07;8.09238E-06;x;x;2.16055E-05;3.75439E-05
548;Iron;Air;low. pop.;kg;2.22247E-05;x;2.6489E-08;0.000000027;7.53283E-07;x;x;6.4607E-06;1.49573E-05
549;Iron;Sol;;kg;0.000783967;x;0.000020799;0.0000212;0.000166791;x;x;0.000221849;0.000353328
550;Iron;Sol;agricultural;kg;1.4115E-05;x;2.2275E-07;2.2704E-07;6.17624E-06;x;x;0.000004134;3.35498E-06
551;Iron;Sol;industrial;kg;0.002454466;x;0.000059365;0.00006051;0.002152135;x;x;0.000115741;6.67147E-05
552;Iron-59;Eau;river;Bq;0.001735953;x;3.3312E-06;3.3954E-06;2.83308E-05;x;x;0.000765055;0.000935841
553;Iron, ion;Eau;;kg;0.00014755;x;0.000002668;2.7194E-06;9.25011E-05;x;x;1.93406E-05;3.03204E-05
554;Iron, ion;Eau;groundwater;kg;0.00432812;x;0.000053086;0.00005411;0.001657394;x;x;0.001322218;0.001241313
555;Iron, ion;Eau;ocean;kg;4.65912E-05;x;9.7341E-07;9.9218E-07;4.16118E-05;x;x;1.96096E-06;1.05287E-06
556;Iron, ion;Eau;river;kg;0.000256728;x;5.9213E-06;6.0354E-06;0.000180655;x;x;3.20716E-05;3.2045E-05
557;Isocyanic acid;Air;high. pop.;kg;1.719E-07;x;2.2389E-09;2.282E-09;3.91449E-08;x;x;5.75602E-08;7.06737E-08
558;Isoprene;Air;;kg;1.82099E-15;x;9.9566E-19;1.01484E-18;2.14198E-17;x;x;1.49493E-15;3.02627E-16
559;Isoprene;Air;low. pop.;kg;2.60336E-09;x;6.1169E-11;6.2348E-11;2.04078E-09;x;x;3.15372E-10;1.23684E-10
560;Isopropylamine;Air;high. pop.;kg;1.05542E-11;x;8.8877E-15;9.059E-15;9.97575E-14;x;x;4.15829E-12;6.27816E-12
561;Isopropylamine;Eau;river;kg;2.53305E-11;x;2.1331E-14;2.1742E-14;2.3942E-13;x;x;9.98012E-12;1.50679E-11
562;Kaolinite;Brut;in ground;kg;0.002677055;x;7.0778E-07;7.2142E-07;9.97313E-06;x;x;0.002595013;7.06404E-05
563;Kieserite;Brut;in ground;kg;3.65865E-05;x;9.1775E-09;9.3544E-09;7.10925E-08;x;x;3.62145E-05;2.82384E-07
564;Krypton-85;Air;low. pop.;Bq;83.89565627;x;0.97033;0.98904;29.9085696;x;x;24.90116667;27.12655
565;Krypton-85m;Air;low. pop.;Bq;56.81523216;x;0.12209;0.124442;1.38791016;x;x;24.84375;30.33704
566;Krypton-87;Air;low. pop.;Bq;13.25247087;x;0.035342;0.036022;0.5657652;x;x;5.692641667;6.9227
567;Krypton-88;Air;low. pop.;Bq;17.04481836;x;0.040461;0.04124;0.55154736;x;x;7.39615;9.01542
568;Krypton-89;Air;low. pop.;Bq;7.021121424;x;0.014118;0.0143904;0.137343024;x;x;3.0846;3.77067
569;Lactic acid;Air;high. pop.;kg;1.67816E-11;x;1.0616E-13;1.08208E-13;3.32154E-12;x;x;6.53468E-12;6.71106E-12
570;Lactic acid;Eau;river;kg;4.02761E-11;x;2.5479E-13;2.597E-13;7.97182E-12;x;x;1.56834E-11;1.61065E-11
571;Lanthanum-140;Air;low. pop.;Bq;0.00033043;x;6.3407E-07;6.4628E-07;5.39262E-06;x;x;0.000145624;0.000178133
572;Lanthanum-140;Eau;river;Bq;0.010713095;x;0.000020557;0.000020954;0.000174837;x;x;0.004721417;0.00577533
573;Lead;Brut;in ground;kg;0.024019174;x;8.8348E-06;0.000009005;0.000112848;x;x;0.023812458;7.60276E-05
574;Lead;Air;;kg;2.75201E-05;x;1.0906E-06;5.3476E-07;1.17094E-06;x;x;7.5366E-06;1.71872E-05
575;Lead;Air;high. pop.;kg;4.47259E-06;x;1.0164E-07;1.03602E-07;2.57844E-06;x;x;8.16553E-07;8.72349E-07
576;Lead;Air;low. pop.;kg;6.42104E-05;x;4.908E-08;5.0026E-08;1.10332E-06;x;x;0.000042665;2.0343E-05
577;Lead;Air;stratosphere + troposphere;kg;8.74571E-15;x;1.1544E-16;1.17666E-16;3.03014E-15;x;x;4.02093E-15;1.46154E-15
578;Lead;Eau;;kg;2.10862E-06;x;3.3432E-07;8.8366E-08;2.13608E-07;x;x;4.70066E-07;1.00226E-06
579;Lead;Eau;groundwater;kg;9.25142E-08;x;1.2899E-10;1.31476E-10;3.20203E-09;x;x;6.22353E-08;2.68165E-08
580;Lead;Eau;lake;kg;1.94206E-13;x;1.7231E-15;1.7563E-15;1.85232E-14;x;x;1.28887E-13;4.33159E-14
581;Lead;Eau;ocean;kg;6.43426E-06;x;1.3408E-07;1.36666E-07;5.73366E-06;x;x;2.7783E-07;1.52033E-07
582;Lead;Eau;river;kg;9.84989E-06;x;1.7982E-07;1.8328E-07;3.67862E-06;x;x;3.44942E-06;2.35875E-06
583;Lead;Sol;;kg;4.58541E-07;x;3.2781E-07;8.173E-08;1.27957E-08;x;x;1.67429E-08;1.94624E-08
584;Lead;Sol;agricultural;kg;4.68491E-06;x;3.2429E-10;3.3054E-10;9.07583E-09;x;4.64286E-06;1.34574E-08;1.88652E-08
585;Lead-210;Air;;Bq;3.59436E-09;x;1.8845E-11;1.92084E-11;4.80982E-10;x;x;1.4581E-09;1.61723E-09
586;Lead-210;Air;high. pop.;Bq;0.617439806;x;0.00032979;0.00033614;0.009180335;x;x;0.217761542;0.389832
587;Lead-210;Air;low. pop.;Bq;1.32857696;x;0.013169;0.0134226;0.39921336;x;x;0.466135;0.436637
588;Lead-210;Eau;;Bq;0.004596386;x;2.5132E-06;2.5616E-06;5.40671E-05;x;x;0.003773379;0.000763865
589;Lead-210;Eau;groundwater;Bq;0.001474137;x;0.000026895;0.000027414;0.000960654;x;x;0.000226244;0.00023293
590;Lead-210;Eau;ocean;Bq;1.826888883;x;0.03182;0.032434;1.134315;x;x;0.296822083;0.3314978
591;Lead-210;Eau;river;Bq;0.492170777;x;0.0056065;0.0057146;0.17447976;x;x;0.173632417;0.1327375
592;Linuron;Sol;agricultural;kg;8.715E-07;x;6.8875E-10;7.0202E-10;6.038E-09;x;x;2.95011E-07;5.6906E-07
593;Lithium;Brut;in ground;kg;5.07736E-10;x;4.9276E-13;5.0226E-13;8.44422E-12;x;x;2.90087E-10;2.0821E-10
594;Lithium, ion;Eau;;kg;1.70737E-05;x;9.3354E-09;9.5152E-09;2.00832E-07;x;x;1.40165E-05;2.83746E-06
595;Lithium, ion;Eau;river;kg;8.03468E-10;x;7.7977E-13;7.948E-13;1.33625E-11;x;x;4.59046E-10;3.29485E-10
596;m-Xylene;Air;high. pop.;kg;2.69064E-07;x;2.6222E-09;2.6728E-09;7.94102E-08;x;x;9.98542E-08;8.45043E-08
597;m-Xylene;Eau;;kg;4.8116E-10;x;2.6309E-13;2.6816E-13;5.65995E-12;x;x;3.95005E-10;7.99644E-11
598;m-Xylene;Eau;river;kg;4.25296E-11;x;4.1749E-14;4.2554E-14;7.3389E-13;x;x;2.4974E-11;1.67373E-11
599;Magnesite;Brut;in ground;kg;0.014556261;x;0.00013264;0.000135194;0.003783452;x;x;0.003724354;0.00678062
600;Magnesium;Brut;in water;kg;1.84523E-07;x;1.3993E-09;1.42632E-09;3.74873E-08;x;x;7.34293E-08;7.0781E-08
601;Magnesium;Air;;kg;3.29498E-10;x;1.8017E-13;1.8364E-13;3.87584E-12;x;x;2.70499E-10;5.476E-11
602;Magnesium;Air;high. pop.;kg;5.13281E-05;x;3.6093E-08;3.6788E-08;1.01857E-06;x;x;1.81991E-05;3.20376E-05
603;Magnesium;Air;low. pop.;kg;1.75736E-05;x;2.2538E-08;2.2972E-08;6.43537E-07;x;x;5.15337E-06;1.17312E-05
604;Magnesium;Eau;;kg;9.96373E-06;x;5.4479E-09;5.553E-09;1.17202E-07;x;x;8.17967E-06;1.65586E-06
605;Magnesium;Eau;groundwater;kg;0.001589049;x;9.4014E-06;9.5826E-06;0.000287977;x;x;0.000642691;0.000639397
606;Magnesium;Eau;ocean;kg;0.004795572;x;0.00010024;0.000102176;0.00429025;x;x;0.000199373;0.000103533
607;Magnesium;Eau;river;kg;0.009520999;x;0.00029495;0.00030064;0.008018338;x;x;0.000580946;0.000326125
608;Magnesium;Sol;agricultural;kg;9.07968E-06;x;1.0171E-07;1.03674E-07;3.05326E-06;x;x;2.8207E-06;3.00033E-06
609;Magnesium;Sol;industrial;kg;0.000981799;x;0.000023746;0.000024204;0.000860867;x;x;4.62955E-05;2.66863E-05
610;Mancozeb;Sol;agricultural;kg;1.84853E-07;x;2.0493E-10;2.0888E-10;4.4796E-09;x;x;1.40421E-07;3.95382E-08
611;Manganese;Brut;in ground;kg;0.007517606;x;0.000014294;0.00001457;0.000335954;x;x;0.002811208;0.00434158
612;Manganese;Air;;kg;6.22557E-06;x;9.7381E-09;9.9258E-09;2.87554E-07;x;x;1.80174E-06;4.11662E-06
613;Manganese;Air;high. pop.;kg;7.78322E-07;x;5.0788E-09;5.1768E-09;1.54309E-07;x;x;2.78493E-07;3.35264E-07
614;Manganese;Air;low. pop.;kg;7.75145E-06;x;9.8208E-09;1.001E-08;2.52874E-07;x;x;4.65539E-06;2.82336E-06
615;Manganese;Eau;;kg;9.05353E-07;x;1.0152E-08;1.03474E-08;3.20052E-07;x;x;2.1043E-07;3.54371E-07
616;Manganese;Eau;groundwater;kg;8.16518E-05;x;4.7948E-07;4.8872E-07;1.47223E-05;x;x;0.00003021;3.57513E-05
617;Manganese;Eau;ocean;kg;3.8395E-05;x;8.0248E-07;8.1796E-07;3.43423E-05;x;x;1.5993E-06;8.32981E-07
618;Manganese;Eau;river;kg;8.72714E-05;x;2.4489E-06;2.4962E-06;6.68075E-05;x;x;8.5436E-06;6.97524E-06
619;Manganese;Sol;agricultural;kg;5.46942E-06;x;5.9666E-08;6.0816E-08;1.80331E-06;x;x;1.70607E-06;1.83957E-06
620;Manganese;Sol;industrial;kg;4.909E-05;x;1.1873E-06;1.21018E-06;4.30434E-05;x;x;2.31478E-06;1.33433E-06
621;Manganese-54;Air;low. pop.;Bq;3.07569E-05;x;5.902E-08;6.0158E-08;5.01949E-07;x;x;1.3555E-05;1.65808E-05
622;Manganese-54;Eau;river;Bq;0.209401754;x;0.0005768;0.00058792;0.009642251;x;x;0.090440083;0.1081547
623;Mercury;Air;;kg;1.60171E-06;x;1.084E-08;1.1047E-08;3.08481E-07;x;x;4.27003E-07;8.4434E-07
624;Mercury;Air;high. pop.;kg;2.44583E-07;x;4.0427E-09;4.1206E-09;1.21235E-07;x;x;6.23788E-08;5.28064E-08
625;Mercury;Air;low. pop.;kg;6.89213E-07;x;1.6624E-08;1.69442E-08;3.13844E-07;x;x;2.24477E-07;1.17323E-07
626;Mercury;Air;stratosphere + troposphere;kg;3.06088E-17;x;4.0403E-19;4.1182E-19;1.06051E-17;x;x;1.40726E-17;5.11525E-18
627;Mercury;Eau;;kg;1.04041E-07;x;5.7388E-10;5.8494E-10;1.78735E-08;x;x;2.72928E-08;5.77163E-08
628;Mercury;Eau;groundwater;kg;7.4484E-09;x;5.1036E-11;5.202E-11;1.57805E-09;x;x;2.38986E-09;3.37743E-09
629;Mercury;Eau;lake;kg;1.6799E-15;x;1.4905E-17;1.51922E-17;1.60229E-16;x;x;1.11488E-15;3.74699E-16
630;Mercury;Eau;ocean;kg;1.88036E-08;x;3.8525E-10;3.9268E-10;1.64606E-08;x;x;9.46867E-10;6.18233E-10
631;Mercury;Eau;river;kg;3.59822E-08;x;2.8431E-10;2.8978E-10;7.86993E-09;x;x;1.63467E-08;1.11914E-08
632;Mercury;Sol;agricultural;kg;8.47773E-10;x;1.3221E-12;1.3476E-12;2.47469E-11;x;x;3.0676E-10;5.13597E-10
633;Metaldehyde;Sol;agricultural;kg;3.91097E-09;x;3.1107E-12;3.1708E-12;2.81942E-11;x;x;1.35073E-09;2.52577E-09
634;Metamorphous rock, graphite containing;Brut;in ground;kg;0.000149663;x;1.0684E-07;1.08904E-07;1.77562E-06;x;x;0.000143862;3.80952E-06
635;Methane, biogenic;Air;;kg;0.000368743;x;3.2146E-06;3.2766E-06;9.43979E-05;x;x;0.000125215;0.000142639
636;Methane, biogenic;Air;high. pop.;kg;3.03263E-05;x;4.4741E-08;4.5604E-08;1.00354E-06;x;x;2.40532E-05;5.17926E-06
637;Methane, biogenic;Air;low. pop.;kg;0.000165751;x;0.000001626;1.6574E-06;5.0149E-05;x;x;6.22353E-05;5.00832E-05
638;Methane, bromo-, Halon 1001;Air;;kg;2.56672E-15;x;1.4034E-18;1.43046E-18;3.01916E-17;x;x;2.10713E-15;4.26573E-16
639;Methane, bromochlorodifluoro-, Halon 1211;Air;low. pop.;kg;1.04845E-07;x;6.3069E-10;6.4284E-10;2.09068E-08;x;x;3.75063E-08;4.51585E-08
640;Methane, bromotrifluoro-, Halon 1301;Air;high. pop.;kg;6.48369E-12;x;1.6132E-15;1.6443E-15;1.00213E-14;x;x;6.44679E-12;2.36238E-14
641;Methane, bromotrifluoro-, Halon 1301;Air;low. pop.;kg;1.51694E-06;x;5.6639E-08;5.7732E-08;1.24796E-06;x;x;1.00711E-07;5.39016E-08
642;Methane, chlorodifluoro-, HCFC-22;Air;high. pop.;kg;4.69818E-09;x;5.8489E-11;5.9616E-11;1.19712E-09;x;x;2.22468E-09;1.15829E-09
643;Methane, chlorodifluoro-, HCFC-22;Air;low. pop.;kg;3.97687E-07;x;2.5769E-09;2.6266E-09;8.22767E-08;x;x;1.41506E-07;1.68702E-07
644;Methane, dichloro-, HCC-30;Air;high. pop.;kg;6.47195E-10;x;3.7483E-12;3.8206E-12;8.77837E-11;x;x;2.94393E-10;2.5745E-10
645;Methane, dichloro-, HCC-30;Air;low. pop.;kg;1.08515E-09;x;3.9803E-12;4.057E-12;1.00878E-10;x;x;5.9095E-10;3.85281E-10
646;Methane, dichloro-, HCC-30;Eau;river;kg;3.10695E-05;x;7.5146E-07;7.6594E-07;2.72422E-05;x;x;1.46519E-06;8.4471E-07
647;Methane, dichlorodifluoro-, CFC-12;Air;;kg;1.70653E-15;x;9.3307E-19;9.5106E-19;2.00734E-17;x;x;1.40097E-15;2.83605E-16
648;Methane, dichlorodifluoro-, CFC-12;Air;high. pop.;kg;2.90283E-10;x;2.7795E-12;2.833E-12;4.99393E-11;x;x;1.6169E-10;7.30417E-11
649;Methane, dichlorodifluoro-, CFC-12;Air;low. pop.;kg;4.60735E-10;x;4.3609E-12;4.445E-12;1.66195E-10;x;x;1.31001E-10;1.54734E-10
650;Methane, dichlorofluoro-, HCFC-21;Air;high. pop.;kg;6.41283E-13;x;5.5694E-15;5.6768E-15;7.75855E-14;x;x;3.86569E-13;1.65882E-13
651;Methane, fossil;Air;;kg;0.000454421;x;0.00025222;0.000056348;3.6891E-05;x;x;7.81242E-05;3.0838E-05
652;Methane, fossil;Air;high. pop.;kg;0.008107453;x;0.000071944;0.00007333;0.002306238;x;x;0.004536579;0.001119361
653;Methane, fossil;Air;low. pop.;kg;0.128202767;x;0.004337;0.0044206;0.059158008;0.004229931;x;0.022129708;0.03392752
654;Methane, fossil;Air;stratosphere + troposphere;kg;2.18637E-11;x;2.886E-13;2.9416E-13;7.57509E-12;x;x;1.00521E-11;3.65375E-12
655;Methane, monochloro-, R-40;Air;high. pop.;kg;2.58912E-11;x;3.6719E-13;3.7426E-13;9.39164E-12;x;x;7.75721E-12;8.00088E-12
656;Methane, monochloro-, R-40;Air;low. pop.;kg;1.98143E-09;x;7.2678E-12;7.4078E-12;1.84196E-10;x;x;1.07904E-09;7.03518E-10
657;Methane, tetrachloro-, CFC-10;Air;;kg;7.6307E-13;x;4.1723E-16;4.2526E-16;8.97591E-15;x;x;6.26438E-13;1.26814E-13
658;Methane, tetrachloro-, CFC-10;Air;high. pop.;kg;5.06411E-08;x;5.809E-10;5.921E-10;1.85035E-08;x;x;1.34947E-08;1.74699E-08
659;Methane, tetrafluoro-, CFC-14;Air;;kg;2.17483E-05;x;1.4435E-08;1.4713E-08;2.22286E-07;x;x;2.0965E-05;5.31875E-07
660;Methane, tetrafluoro-, CFC-14;Air;high. pop.;kg;5.09384E-10;x;4.0166E-12;4.094E-12;1.15472E-10;x;x;1.79182E-10;2.06619E-10
661;Methane, trichlorofluoro-, CFC-11;Air;high. pop.;kg;1.0411E-12;x;9.0416E-15;9.2158E-15;1.25956E-13;x;x;6.27586E-13;2.69301E-13
662;Methane, trifluoro-, HFC-23;Air;high. pop.;kg;2.04045E-10;x;1.7721E-12;1.80624E-12;2.46863E-11;x;x;1.23E-10;5.27805E-11
663;Methanesulfonic acid;Air;high. pop.;kg;7.47735E-11;x;5.9144E-14;6.0284E-14;5.19967E-13;x;x;2.53274E-11;4.88067E-11
664;Methanol;Air;;kg;1.8656E-05;x;1.8306E-07;1.8659E-07;5.41654E-06;x;x;9.33551E-06;3.53435E-06
665;Methanol;Air;high. pop.;kg;8.3445E-06;x;1.4485E-07;1.47638E-07;4.02588E-06;x;x;2.27966E-06;1.74647E-06
666;Methanol;Air;low. pop.;kg;1.06962E-05;x;9.7122E-08;9.8994E-08;2.85618E-06;x;x;4.9385E-06;2.7054E-06
667;Methanol;Eau;;kg;5.36073E-07;x;4.5443E-09;4.6318E-09;1.31682E-07;x;x;2.52987E-07;1.42228E-07
668;Methanol;Eau;ocean;kg;1.31161E-06;x;6.5935E-09;6.7206E-09;2.01087E-07;x;x;4.96698E-07;6.0051E-07
669;Methanol;Eau;river;kg;8.49383E-08;x;6.5597E-10;6.6862E-10;7.4814E-09;x;x;5.17523E-08;2.438E-08
670;Methyl acetate;Air;high. pop.;kg;3.02736E-12;x;2.4164E-15;2.463E-15;2.17464E-14;x;x;1.02482E-12;1.97591E-12
671;Methyl acetate;Eau;river;kg;7.26524E-12;x;5.7993E-15;5.911E-15;5.219E-14;x;x;2.45942E-12;4.74192E-12
672;Methyl acrylate;Air;high. pop.;kg;1.85029E-09;x;1.646E-11;1.67778E-11;1.70644E-10;x;x;1.24181E-09;4.04595E-10
673;Methyl acrylate;Eau;river;kg;3.61451E-08;x;3.2156E-10;3.2776E-10;3.33366E-09;x;x;2.42585E-08;7.90357E-09
674;Methyl amine;Air;high. pop.;kg;3.15059E-11;x;1.2081E-13;1.23134E-13;2.82381E-12;x;x;1.11991E-11;1.7239E-11
675;Methyl amine;Eau;river;kg;7.56132E-11;x;2.8993E-13;2.9552E-13;6.77673E-12;x;x;2.68776E-11;4.13734E-11
676;Methyl borate;Air;high. pop.;kg;4.07818E-12;x;3.8769E-15;3.9516E-15;6.2968E-14;x;x;2.20833E-12;1.79905E-12
677;Methyl ethyl ketone;Air;high. pop.;kg;2.95364E-06;x;2.6246E-08;2.6752E-08;2.76426E-07;x;x;1.97279E-06;6.51422E-07
678;Methyl formate;Air;high. pop.;kg;1.1811E-11;x;6.83E-14;6.9616E-14;7.37657E-13;x;x;7.46571E-12;3.46968E-12
679;Methyl formate;Eau;river;kg;4.7154E-12;x;2.7268E-14;2.7794E-14;2.94506E-13;x;x;2.98059E-12;1.38524E-12
680;Methyl lactate;Air;high. pop.;kg;1.84233E-11;x;1.1655E-13;1.18796E-13;3.64652E-12;x;x;7.17399E-12;7.36744E-12
681;Metolachlor;Sol;agricultural;kg;6.30791E-06;x;4.9845E-09;5.0806E-09;4.36986E-08;x;x;2.1353E-06;4.11884E-06
682;Metribuzin;Sol;agricultural;kg;6.50862E-09;x;7.2158E-12;7.355E-12;1.57726E-10;x;x;4.94424E-09;1.39209E-09
683;Molybdenum;Brut;in ground;kg;0.000166381;x;3.5601E-07;3.6286E-07;8.53988E-06;x;x;6.18179E-05;9.53046E-05
684;Molybdenum;Air;;kg;1.28749E-11;x;1.0301E-13;1.04992E-13;2.98041E-12;x;x;4.61674E-12;5.06974E-12
685;Molybdenum;Air;high. pop.;kg;9.49403E-07;x;2.0825E-08;2.1226E-08;7.1918E-07;x;x;9.73367E-08;9.0835E-08
686;Molybdenum;Air;low. pop.;kg;6.90683E-08;x;7.5178E-10;7.6626E-10;2.34178E-08;x;x;2.11795E-08;2.2953E-08
687;Molybdenum;Eau;;kg;3.65007E-10;x;1.9957E-13;2.0342E-13;4.29353E-12;x;x;2.99649E-10;6.06615E-11
688;Molybdenum;Eau;groundwater;kg;7.10315E-06;x;7.1203E-08;7.2576E-08;2.20884E-06;x;x;2.72597E-06;2.02457E-06
689;Molybdenum;Eau;ocean;kg;1.7795E-07;x;3.719E-09;3.7908E-09;1.59168E-07;x;x;7.41117E-09;3.86169E-09
690;Molybdenum;Eau;river;kg;5.15646E-06;x;3.449E-08;3.5156E-08;9.29074E-07;x;x;2.2377E-06;1.92004E-06
691;Molybdenum;Sol;agricultural;kg;1.14603E-09;x;1.2023E-11;1.22544E-11;3.56593E-10;x;x;3.84581E-10;3.80582E-10
692;Molybdenum-99;Eau;river;Bq;0.003693589;x;7.0877E-06;7.2244E-06;6.02784E-05;x;x;0.001627807;0.001991192
693;Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore, in ground;Brut;in ground;kg;0.000485374;x;3.7535E-07;3.8258E-07;7.46502E-06;x;x;0.00034969;0.000127461
694;Molybdenum, 0.014% in sulfide, Mo 8.2E-3% and Cu 0.81% in crude ore, in ground;Brut;in ground;kg;6.91824E-05;x;5.3326E-08;5.4354E-08;1.06231E-06;x;x;4.98443E-05;1.81681E-05
695;Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore, in ground;Brut;in ground;kg;8.24594E-05;x;1.7657E-07;1.79972E-07;4.23325E-06;x;x;3.06428E-05;4.72268E-05
696;Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore, in ground;Brut;in ground;kg;0.000253506;x;1.954E-07;1.99168E-07;3.89254E-06;x;x;0.000182645;6.65741E-05
697;Monoethanolamine;Air;high. pop.;kg;3.44134E-07;x;1.5918E-09;1.62248E-09;3.0894E-08;x;x;2.66325E-07;4.37007E-08
698;Napropamide;Sol;agricultural;kg;6.91949E-09;x;5.5036E-12;5.6096E-12;4.98804E-11;x;x;2.38964E-09;4.46886E-09
699;Nickel;Air;;kg;1.36747E-06;x;2.5458E-07;1.69696E-07;1.94345E-07;x;x;2.54268E-07;4.94579E-07
700;Nickel;Air;high. pop.;kg;2.10744E-05;x;5.0665E-07;5.1642E-07;1.56478E-05;x;x;2.50602E-06;1.89755E-06
701;Nickel;Air;low. pop.;kg;4.46217E-05;x;2.2295E-07;2.2724E-07;7.08664E-06;2.29697E-06;x;2.19663E-05;1.28216E-05
702;Nickel;Air;stratosphere + troposphere;kg;3.06088E-14;x;4.0403E-16;4.1182E-16;1.06051E-14;x;x;1.40726E-14;5.11525E-15
703;Nickel;Sol;;kg;1.43991E-07;x;1.0294E-07;2.5664E-08;4.01801E-09;x;x;5.2576E-09;6.11166E-09
704;Nickel;Sol;agricultural;kg;2.2232E-08;x;2.8768E-10;2.9322E-10;7.68288E-09;x;x;7.98865E-09;5.97957E-09
