SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:47;;;
Projet;_Forest resources database;;;;;;;
;;;;;;;;
;;;;;;;;
Calculation: ;Analyser;;;;;;;
Results: ;Inventaire;;;;;;;
Product: ;1 m3 _Oak logs for timber, manually felled, 80% water on dry mass basis, in forest/FR U (of project _Forest resources database);;;;;;;
Méthode: ;;;;;;;;
Indicateur: ;Inventaire;;;;;;;
Unité: ;?;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;
Per sub-compartment: ;Oui;;;;;;;
Default units: ;Non;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;
Sorted on item: ;Substance;;;;;;;
Sort order: ;Croissant;;;;;;;
;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak logs for timber, manually felled, 80% water on dry mass basis, in forest/FR U;_Power sawing, without catalytic converter/hr/RER_357XP/Husqvarna U (2009);Operation, passenger car, diesel, fleet average/RER S
240;Carbon, in organic matter, in soil;Brut;in ground;kg;5.74515E-07;x;5.18664E-07;5.58512E-08
241;Carbonate;Eau;river;kg;3.25299E-07;x;3.19069E-07;6.22932E-09
242;Carboxylic acids, unspecified;Eau;ocean;kg;6.88043E-05;x;6.32372E-05;5.5671E-06
243;Carboxylic acids, unspecified;Eau;river;kg;9.27941E-05;x;8.1599E-05;1.11952E-05
244;Cerium-141;Air;low. pop.;Bq;4.70302E-07;x;3.72574E-07;9.77275E-08
245;Cerium-141;Eau;river;Bq;2.01794E-06;x;1.59862E-06;4.19318E-07
246;Cerium-144;Eau;river;Bq;6.14323E-07;x;4.86666E-07;1.27657E-07
247;Cesium;Eau;ocean;kg;1.22148E-08;x;1.12262E-08;9.88599E-10
248;Cesium;Eau;river;kg;2.52158E-08;x;2.21738E-08;3.042E-09
249;Cesium-134;Air;low. pop.;Bq;2.25245E-08;x;1.7844E-08;4.68055E-09
250;Cesium-134;Eau;river;Bq;0.000470564;x;0.00043861;3.19542E-05
251;Cesium-136;Eau;river;Bq;3.58147E-07;x;2.83726E-07;7.44213E-08
252;Cesium-137;Air;low. pop.;Bq;3.99287E-07;x;3.16317E-07;8.29702E-08
253;Cesium-137;Eau;ocean;Bq;0.388769857;x;0.36191848;0.026851377
254;Cesium-137;Eau;river;Bq;0.001583687;x;0.001395918;0.00018777
255;Chloramine;Air;high. pop.;kg;2.46992E-14;x;2.22689E-14;2.43031E-15
256;Chloramine;Eau;river;kg;2.21902E-13;x;1.99872E-13;2.203E-14
257;Chlorate;Eau;river;kg;3.56093E-07;x;3.29704E-07;2.63886E-08
258;Chloride;Eau;;kg;3.79593E-06;x;3.46027E-06;3.35664E-07
259;Chloride;Eau;groundwater;kg;0.000220255;x;0.000206537;1.37178E-05
260;Chloride;Eau;ocean;kg;0.006128528;x;0.005632539;0.000495989
