SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:46;;;;
Projet;_Forest resources database;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Calculation: ;Analyser;;;;;;;;
Results: ;Inventaire;;;;;;;;
Product: ;1 m3 _Oak harvesting wood, stemwood, over bark, mechanically felled, 80% water on dry mass basis, in forest/FR U (of project _Forest resources database);;;;;;;;
Méthode: ;;;;;;;;;
Indicateur: ;Inventaire;;;;;;;;
Unité: ;?;;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;;
Per sub-compartment: ;Oui;;;;;;;;
Default units: ;Non;;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;;
Sorted on item: ;Substance;;;;;;;;
Sort order: ;Croissant;;;;;;;;
;;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak harvesting wood, stemwood, over bark, mechanically felled, 80% water on dry mass basis, in forest/FR U;_Hardwood, stemwood, diameter>7 cm , mechanically felling, in forest/FR U;Operation, lorry >28t, fleet average/CH S;Operation, passenger car, diesel, fleet average/RER S
121;Baryte;Brut;in ground;kg;0.011082062;x;0.010931662;9.28966E-06;0.00014111
122;Basalt;Brut;in ground;kg;0.000120692;x;0.000119196;9.23915E-08;1.40343E-06
123;Benomyl;Sol;agricultural;kg;3.0393E-12;x;2.99476E-12;2.75138E-15;4.17923E-14
124;Bentazone;Sol;agricultural;kg;3.67014E-11;x;3.53323E-11;8.4562E-14;1.28453E-12
125;Benzal chloride;Air;;kg;1.455E-17;x;1.43659E-17;1.13725E-20;1.72746E-19
126;Benzaldehyde;Air;high. pop.;kg;1.36884E-10;x;1.34596E-10;1.41271E-13;2.14591E-12
127;Benzene;Air;;kg;3.95131E-07;x;2.51441E-07;1.12865E-08;1.32403E-07
128;Benzene;Air;high. pop.;kg;1.39151E-05;x;1.36737E-05;1.49132E-08;2.26519E-07
129;Benzene;Air;low. pop.;kg;2.16161E-06;x;2.14292E-06;1.15478E-09;1.75409E-08
130;Benzene;Air;stratosphere + troposphere;kg;5.10504E-13;x;5.07048E-13;2.13449E-16;3.24221E-15
131;Benzene;Eau;;kg;3.45404E-11;x;3.41033E-11;2.69976E-14;4.10083E-13
132;Benzene;Eau;ocean;kg;3.81914E-06;x;3.77408E-06;2.78374E-09;4.22834E-08
133;Benzene;Eau;river;kg;6.09653E-06;x;5.98698E-06;6.76709E-09;1.0279E-07
134;Benzene, 1-methyl-2-nitro-;Air;high. pop.;kg;7.42074E-15;x;7.1503E-15;1.6704E-17;2.53735E-16
135;Benzene, 1,2-dichloro-;Air;high. pop.;kg;2.09297E-13;x;2.03402E-13;3.64136E-16;5.53094E-15
136;Benzene, 1,2-dichloro-;Eau;river;kg;2.92667E-10;x;2.91402E-10;7.81586E-14;1.18718E-12
137;Benzene, chloro-;Eau;river;kg;6.03318E-09;x;6.00733E-09;1.59692E-12;2.42569E-11
138;Benzene, ethyl-;Air;high. pop.;kg;2.89303E-06;x;2.83858E-06;3.36361E-09;5.10917E-08
139;Benzene, ethyl-;Air;low. pop.;kg;3.87066E-12;x;3.83193E-12;2.39227E-15;3.63376E-14
140;Benzene, ethyl-;Eau;;kg;1.94129E-12;x;1.91673E-12;1.51736E-15;2.30481E-14
141;Benzene, ethyl-;Eau;ocean;kg;1.11059E-06;x;1.09749E-06;8.0955E-10;1.22967E-08
142;Benzene, ethyl-;Eau;river;kg;2.20939E-06;x;2.16907E-06;2.49084E-09;3.78343E-08
143;Benzene, hexachloro-;Air;;kg;1.36548E-09;x;1.3628E-09;1.6562E-13;2.51575E-12
144;Benzene, hexachloro-;Air;high. pop.;kg;1.60608E-12;x;1.58647E-12;1.21152E-15;1.84022E-14
145;Benzene, pentachloro-;Air;high. pop.;kg;4.03042E-12;x;3.9812E-12;3.04049E-15;4.6184E-14
146;Benzo(a)pyrene;Air;;kg;5.26871E-08;x;5.26789E-08;5.11444E-13;7.76851E-12
147;Benzo(a)pyrene;Air;high. pop.;kg;7.77822E-11;x;7.7225E-11;3.44175E-14;5.22785E-13
148;Benzo(a)pyrene;Air;low. pop.;kg;8.24245E-09;x;8.19093E-09;3.18248E-12;4.83403E-11
149;Beryllium;Air;;kg;3.56633E-11;x;3.51266E-11;3.31539E-14;5.03591E-13
150;Beryllium;Air;high. pop.;kg;1.57765E-10;x;1.57362E-10;2.4884E-14;3.77978E-13
151;Beryllium;Air;low. pop.;kg;2.02673E-10;x;2.02186E-10;3.00695E-14;4.56746E-13
152;Beryllium;Eau;;kg;2.06464E-13;x;2.03851E-13;1.61373E-16;2.45122E-15
153;Beryllium;Eau;groundwater;kg;1.54647E-09;x;1.53736E-09;5.62399E-13;8.54254E-12
154;Beryllium;Eau;river;kg;7.69469E-11;x;7.6242E-11;4.35399E-14;6.61381E-13
155;BOD5, Biological Oxygen Demand;Eau;;kg;2.43716E-05;x;2.43148E-05;3.51129E-09;5.33354E-08
156;BOD5, Biological Oxygen Demand;Eau;groundwater;kg;2.63137E-08;x;2.62E-08;7.0247E-12;1.06702E-10
157;BOD5, Biological Oxygen Demand;Eau;ocean;kg;0.004590312;x;0.004523794;4.10852E-06;6.24088E-05
158;BOD5, Biological Oxygen Demand;Eau;river;kg;0.025167679;x;0.024867396;1.85478E-05;0.000281735
159;Borate;Eau;river;kg;7.24506E-12;x;7.17653E-12;4.23331E-15;6.43039E-14
160;Borax;Brut;in ground;kg;6.83771E-09;x;6.67374E-09;1.01279E-11;1.5384E-10
161;Boron;Air;;kg;3.30531E-16;x;3.27266E-16;2.01634E-19;3.06276E-18
162;Boron;Air;high. pop.;kg;5.45872E-08;x;5.44667E-08;7.44451E-12;1.13077E-10
163;Boron;Air;low. pop.;kg;3.08505E-06;x;3.05969E-06;1.56669E-09;2.37978E-08
164;Boron;Eau;;kg;6.46657E-11;x;6.38474E-11;5.05446E-14;7.67735E-13
165;Boron;Eau;groundwater;kg;1.20472E-06;x;1.19791E-06;4.20237E-10;6.38343E-09
166;Boron;Eau;ocean;kg;3.78306E-07;x;3.73842E-07;2.75762E-10;4.18867E-09
167;Boron;Eau;river;kg;6.18732E-07;x;6.0832E-07;6.43141E-10;9.76906E-09
168;Boron;Sol;;kg;2.91822E-08;x;2.87804E-08;2.482E-11;3.77011E-10
169;Boron;Sol;agricultural;kg;4.72958E-10;x;4.64325E-10;5.33189E-13;8.0989E-12
170;Boron;Sol;industrial;kg;6.44991E-07;x;6.36084E-07;5.50221E-10;8.35746E-09
171;Boron trifluoride;Air;high. pop.;kg;1.65874E-17;x;1.6518E-17;4.29013E-21;6.51657E-20
172;Bromate;Eau;river;kg;1.5186E-07;x;1.50146E-07;1.0588E-10;1.60823E-09
173;Bromide;Eau;river;kg;8.98923E-10;x;8.87435E-10;7.09613E-13;1.07785E-11
174;Bromine;Brut;in water;kg;9.10774E-10;x;8.99484E-10;6.97348E-13;1.05923E-11
175;Bromine;Air;;kg;2.7029E-16;x;2.67619E-16;1.65028E-19;2.50669E-18
176;Bromine;Air;high. pop.;kg;6.9968E-09;x;6.93895E-09;3.5734E-12;5.42785E-11
177;Bromine;Air;low. pop.;kg;3.37147E-07;x;3.34375E-07;1.71223E-10;2.60083E-09
178;Bromine;Eau;;kg;4.41498E-09;x;4.35911E-09;3.45083E-12;5.24166E-11
179;Bromine;Eau;groundwater;kg;8.90712E-08;x;8.83387E-08;4.52486E-11;6.87293E-10
180;Bromine;Eau;ocean;kg;3.23865E-05;x;3.20043E-05;2.36077E-08;3.58591E-07
181;Bromine;Eau;river;kg;6.49287E-05;x;6.37472E-05;7.29826E-08;1.10856E-06
182;Butadiene;Air;;kg;1.12848E-12;x;1.12084E-12;4.71839E-16;7.16685E-15
183;Butadiene;Air;high. pop.;kg;2.39101E-14;x;2.373E-14;1.11263E-17;1.69E-16
184;Butadiene;Air;low. pop.;kg;7.958E-14;x;7.90413E-14;3.32747E-17;5.0542E-16
185;Butadiene;Air;stratosphere + troposphere;kg;4.83631E-13;x;4.80358E-13;2.02218E-16;3.0716E-15
186;Butane;Air;;kg;2.08243E-10;x;2.05608E-10;1.6277E-13;2.47238E-12
187;Butane;Air;high. pop.;kg;0.00012642;x;0.000124083;1.44373E-07;2.19293E-06
188;Butane;Air;low. pop.;kg;4.20377E-06;x;4.16193E-06;2.58437E-09;3.92558E-08
189;Butene;Air;high. pop.;kg;2.88955E-06;x;2.83513E-06;3.36125E-09;5.10564E-08
190;Butene;Eau;river;kg;2.15132E-10;x;2.13988E-10;7.06204E-14;1.07271E-12
191;Butyl acetate;Eau;river;kg;8.83143E-10;x;8.79427E-10;2.29511E-13;3.48613E-12
192;Butyrolactone;Air;high. pop.;kg;6.27178E-13;x;6.24523E-13;1.63994E-16;2.49105E-15
193;Butyrolactone;Eau;river;kg;1.50525E-12;x;1.49888E-12;3.93599E-16;5.97845E-15
194;Cadmium;Brut;in ground;kg;5.86903E-08;x;5.57075E-08;1.84246E-10;2.79862E-09
195;Cadmium;Air;;kg;2.25525E-08;x;2.21063E-08;2.48303E-11;4.21331E-10
196;Cadmium;Air;high. pop.;kg;8.45975E-08;x;8.33502E-08;7.70426E-11;1.17022E-09
197;Cadmium;Air;low. pop.;kg;1.68733E-08;x;1.67446E-08;7.94949E-12;1.20751E-10
198;Cadmium;Air;stratosphere + troposphere;kg;2.55897E-16;x;2.54165E-16;1.06993E-19;1.62519E-18
199;Cadmium;Sol;;kg;9.64541E-11;x;2.74291E-11;1.41642E-11;5.48608E-11
200;Cadmium;Sol;agricultural;kg;2.01704E-10;x;1.99904E-10;1.1116E-13;1.6884E-12
201;Cadmium, ion;Eau;;kg;3.8398E-08;x;3.82315E-08;2.01831E-11;1.46287E-10
202;Cadmium, ion;Eau;groundwater;kg;1.74519E-09;x;1.73604E-09;5.65399E-13;8.5884E-12
203;Cadmium, ion;Eau;lake;kg;4.12179E-15;x;4.10433E-15;1.07798E-18;1.6374E-17
204;Cadmium, ion;Eau;ocean;kg;1.23765E-08;x;1.22304E-08;9.01894E-12;1.36989E-10
205;Cadmium, ion;Eau;river;kg;2.53077E-08;x;2.50836E-08;1.38445E-11;2.10287E-10
206;Calcite;Brut;in ground;kg;0.064113581;x;0.063771818;2.11105E-05;0.000320652
207;Calcium;Air;high. pop.;kg;9.07073E-07;x;8.98084E-07;5.55272E-10;8.43425E-09
208;Calcium;Air;low. pop.;kg;1.08256E-07;x;1.08019E-07;1.46014E-11;2.2179E-10
209;Calcium;Sol;agricultural;kg;3.14575E-06;x;3.11696E-06;1.77806E-09;2.70077E-08
210;Calcium;Sol;industrial;kg;0.000258;x;0.000254437;2.20087E-07;3.34304E-06
211;Calcium, ion;Eau;;kg;6.62239E-08;x;6.53859E-08;5.17624E-11;7.86243E-10
212;Calcium, ion;Eau;groundwater;kg;0.00010605;x;0.000105334;4.42439E-08;6.72044E-07
213;Calcium, ion;Eau;lake;kg;1.80465E-08;x;1.78608E-08;1.14712E-11;1.74243E-10
214;Calcium, ion;Eau;ocean;kg;0.001464166;x;0.001446863;1.06882E-06;1.62343E-05
215;Calcium, ion;Eau;river;kg;0.002879204;x;0.002827271;3.20781E-06;4.87249E-05
216;Carbetamide;Sol;agricultural;kg;1.3922E-11;x;1.34326E-11;3.02265E-14;4.59127E-13
217;Carbofuran;Sol;agricultural;kg;1.66627E-09;x;1.64185E-09;1.50837E-12;2.29122E-11
