SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:46;;;;
Projet;_Forest resources database;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Calculation: ;Analyser;;;;;;;;
Results: ;Inventaire;;;;;;;;
Product: ;1 m3 _Oak harvesting wood, stemwood, over bark, mechanically felled, 80% water on dry mass basis, in forest/FR U (of project _Forest resources database);;;;;;;;
Méthode: ;;;;;;;;;
Indicateur: ;Inventaire;;;;;;;;
Unité: ;?;;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;;
Per sub-compartment: ;Oui;;;;;;;;
Default units: ;Non;;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;;
Sorted on item: ;Substance;;;;;;;;
Sort order: ;Croissant;;;;;;;;
;;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak harvesting wood, stemwood, over bark, mechanically felled, 80% water on dry mass basis, in forest/FR U;_Hardwood, stemwood, diameter>7 cm , mechanically felling, in forest/FR U;Operation, lorry >28t, fleet average/CH S;Operation, passenger car, diesel, fleet average/RER S
697;Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore, in ground;Brut;in ground;kg;8.05882E-07;x;8.00018E-07;3.62218E-10;5.50188E-09
698;Monoethanolamine;Air;high. pop.;kg;6.91627E-09;x;6.8685E-09;2.95067E-12;4.48199E-11
699;Napropamide;Sol;agricultural;kg;5.05417E-12;x;4.889E-12;1.02021E-14;1.54961E-13
700;Nickel;Air;;kg;2.23226E-07;x;2.18329E-07;2.08579E-10;4.68773E-09
701;Nickel;Air;high. pop.;kg;9.97299E-07;x;9.82094E-07;9.39148E-10;1.42657E-08
702;Nickel;Air;low. pop.;kg;6.04185E-07;x;5.97494E-07;4.13275E-10;6.27735E-09
703;Nickel;Air;stratosphere + troposphere;kg;1.79123E-15;x;1.77911E-15;7.4895E-19;1.13762E-17
704;Nickel;Sol;;kg;1.24646E-09;x;3.54463E-10;1.83047E-10;7.0895E-10
705;Nickel;Sol;agricultural;kg;1.09781E-09;x;1.08918E-09;5.33275E-13;8.1E-12
706;Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore, in ground;Brut;in ground;kg;2.94542E-07;x;2.91447E-07;1.91137E-10;2.90326E-09
707;Nickel, 1.98% in silicates, 1.04% in crude ore, in ground;Brut;in ground;kg;0.003639766;x;0.003635197;2.82194E-07;4.28635E-06
708;Nickel, ion;Eau;;kg;2.11147E-07;x;2.09717E-07;2.16235E-10;1.21309E-09
709;Nickel, ion;Eau;groundwater;kg;8.99095E-08;x;8.934E-08;3.51744E-11;5.34282E-10
710;Nickel, ion;Eau;lake;kg;1.65889E-14;x;1.65187E-14;4.33852E-18;6.59006E-17
711;Nickel, ion;Eau;ocean;kg;2.08603E-08;x;2.06179E-08;1.49716E-11;2.27409E-10
712;Nickel, ion;Eau;river;kg;2.08242E-07;x;2.07104E-07;7.0262E-11;1.06724E-09
713;Niobium-95;Air;low. pop.;Bq;7.00344E-09;x;6.79319E-09;1.29874E-11;1.97271E-10
714;Niobium-95;Eau;river;Bq;0.000175864;x;0.000173865;1.23481E-07;1.87564E-06
715;Nitrate;Air;high. pop.;kg;1.61931E-09;x;1.61329E-09;3.71476E-13;5.64254E-12
716;Nitrate;Air;low. pop.;kg;1.18286E-08;x;1.17159E-08;6.96046E-12;1.05724E-10
717;Nitrate;Eau;groundwater;kg;7.20278E-06;x;7.13411E-06;4.24159E-09;6.44254E-08
718;Nitrate;Eau;ocean;kg;8.81912E-06;x;8.7179E-06;6.25201E-09;9.49669E-08
719;Nitrate;Eau;river;kg;9.52779E-06;x;9.35524E-06;1.06582E-08;1.61895E-07
720;Nitrite;Eau;ocean;kg;2.20405E-08;x;2.18397E-08;1.24033E-11;1.88398E-10
721;Nitrite;Eau;river;kg;1.46463E-08;x;1.44681E-08;1.10087E-11;1.67221E-10
722;Nitrobenzene;Air;high. pop.;kg;1.37445E-12;x;1.3548E-12;1.21405E-15;1.84409E-14
723;Nitrobenzene;Eau;river;kg;5.50818E-12;x;5.42941E-12;4.86527E-15;7.39006E-14
724;Nitrogen;Eau;ocean;kg;1.98856E-07;x;1.96525E-07;1.44002E-10;2.18735E-09
725;Nitrogen;Eau;river;kg;8.62399E-06;x;8.5296E-06;5.83054E-09;8.85635E-08
726;Nitrogen oxides;Air;;kg;0.076463856;x;0.075992173;7.02415E-05;0.000401442
727;Nitrogen oxides;Air;high. pop.;kg;0.00078476;x;0.000774501;6.33686E-07;9.62541E-06
728;Nitrogen oxides;Air;low. pop.;kg;0.0029156;x;0.002859337;3.47522E-06;5.27873E-05
729;Nitrogen oxides;Air;stratosphere + troposphere;kg;3.58246E-10;x;3.55821E-10;1.49787E-13;2.27519E-12
730;Nitrogen, organic bound;Eau;ocean;kg;5.72746E-06;x;5.65908E-06;4.22384E-09;6.41602E-08
731;Nitrogen, organic bound;Eau;river;kg;4.07066E-06;x;3.98597E-06;5.23149E-09;7.94641E-08
732;NMVOC, non-methane volatile organic compounds, unspecified origin;Air;;kg;0.008984361;x;0.008967055;2.84949E-06;1.44564E-05
733;NMVOC, non-methane volatile organic compounds, unspecified origin;Air;high. pop.;kg;0.00159433;x;0.001593419;5.62549E-08;8.54475E-07
734;NMVOC, non-methane volatile organic compounds, unspecified origin;Air;low. pop.;kg;0.002332444;x;0.002264849;4.17522E-06;6.34199E-05
735;NMVOC, non-methane volatile organic compounds, unspecified origin;Air;stratosphere + troposphere;kg;1.71692E-11;x;1.70529E-11;7.17877E-15;1.09044E-13
736;Noble gases, radioactive, unspecified;Air;low. pop.;Bq;84040.40447;x;83274.7699;47.29202841;718.3425414
737;o-Xylene;Eau;;kg;4.54466E-13;x;4.48715E-13;3.55233E-16;5.3958E-15
738;Occupation, arable, non-irrigated;Brut;land;m2a;2.11576E-05;x;2.04671E-05;4.26511E-08;6.47845E-07
739;Occupation, construction site;Brut;land;m2a;0.000283805;x;0.000280246;2.1989E-07;0.00000334
740;Occupation, dump site;Brut;land;m2a;0.001231319;x;0.001226095;3.22676E-07;4.90122E-06
741;Occupation, dump site, benthos;Brut;land;m2a;0.000827118;x;0.000817582;5.88998E-07;8.94641E-06
742;Occupation, forest;Brut;land;m2a;x;x;x;x;x
743;Occupation, forest, intensive;Brut;land;m2a;0.000158744;x;0.00015716;9.78374E-08;1.48608E-06
744;Occupation, forest, intensive, normal;Brut;land;m2a;0.013292693;x;0.013219598;4.51515E-06;6.85801E-05
745;Occupation, forest, intensive, short-cycle;Brut;land;m2a;3.66021E-05;x;3.60657E-05;3.3135E-08;5.03309E-07
746;Occupation, industrial area;Brut;land;m2a;0.007201047;x;0.007114073;5.37222E-06;8.16022E-05
747;Occupation, industrial area, benthos;Brut;land;m2a;6.40149E-06;x;6.31841E-06;5.13197E-09;7.79503E-08
748;Occupation, industrial area, built up;Brut;land;m2a;0.000795899;x;0.000789968;3.6633E-07;5.56464E-06
749;Occupation, industrial area, vegetation;Brut;land;m2a;0.00029785;x;0.00029468;1.95785E-07;2.97392E-06
750;Occupation, mineral extraction site;Brut;land;m2a;0.000969177;x;0.000959724;5.83844E-07;8.86851E-06
751;Occupation, permanent crop, fruit, intensive;Brut;land;m2a;5.25412E-05;x;5.17689E-05;4.76977E-08;7.2453E-07
752;Occupation, shrub land, sclerophyllous;Brut;land;m2a;2.6517E-05;x;2.63707E-05;9.03315E-09;1.3721E-07
753;Occupation, traffic area, rail embankment;Brut;land;m2a;0.000165562;x;0.000160687;3.01105E-07;4.57365E-06
754;Occupation, traffic area, rail network;Brut;land;m2a;0.000183072;x;0.000177682;3.32952E-07;5.0574E-06
755;Occupation, traffic area, road embankment;Brut;land;m2a;0.000160406;x;0.000157684;1.68145E-07;2.55398E-06
756;Occupation, traffic area, road network;Brut;land;m2a;0.003066695;x;0.002990773;4.68966E-06;7.1232E-05
757;Occupation, urban, discontinuously built;Brut;land;m2a;2.16391E-07;x;2.13133E-07;2.01263E-10;3.05713E-09
758;Occupation, water bodies, artificial;Brut;land;m2a;0.000978977;x;0.000968005;6.77774E-07;1.0295E-05
759;Occupation, water courses, artificial;Brut;land;m2a;0.000890311;x;0.00084367;2.88098E-06;4.37602E-05
760;Oil, crude;Brut;in ground;kg;2.174513268;x;2.134860703;0.00244925;0.037203315
761;Oils, biogenic;Sol;;kg;1.19872E-07;x;1.16342E-07;2.18011E-10;3.31149E-09
762;Oils, biogenic;Sol;forestry;kg;1.14514E-07;x;1.13806E-07;4.37537E-11;6.64586E-10
763;Oils, unspecified;Eau;;kg;2.22868E-06;x;2.21023E-06;1.1397E-09;1.7311E-08
764;Oils, unspecified;Eau;ocean;kg;0.001461763;x;0.001440592;1.30773E-06;1.98635E-05
765;Oils, unspecified;Eau;river;kg;0.007934518;x;0.007839935;5.84223E-06;8.87403E-05
766;Oils, unspecified;Sol;;kg;4.49303E-05;x;4.43399E-05;3.64672E-08;5.53923E-07
767;Oils, unspecified;Sol;forestry;kg;0.009877089;x;0.00976053;7.19976E-06;0.000109359
768;Oils, unspecified;Sol;industrial;kg;2.66077E-07;x;2.62718E-07;2.0749E-10;3.15171E-09
769;Olivine;Brut;in ground;kg;3.32669E-09;x;3.27377E-09;3.26835E-12;4.96448E-11
770;Orbencarb;Sol;agricultural;kg;2.26994E-10;x;2.25824E-10;7.22313E-14;1.09718E-12
771;Ozone;Air;;kg;2.99586E-06;x;2.96905E-06;1.65572E-09;2.51497E-08
772;Ozone;Air;high. pop.;kg;6.83723E-10;x;6.7646E-10;4.48611E-13;6.81436E-12
773;Ozone;Air;low. pop.;kg;3.86394E-11;x;3.8438E-11;1.24444E-14;1.89022E-13
774;PAH, polycyclic aromatic hydrocarbons;Air;;kg;5.86069E-06;x;5.8599E-06;4.28011E-11;7.51215E-10
775;PAH, polycyclic aromatic hydrocarbons;Air;high. pop.;kg;3.34789E-08;x;3.33792E-08;6.15691E-12;9.35193E-11
776;PAH, polycyclic aromatic hydrocarbons;Air;low. pop.;kg;5.31307E-08;x;5.2435E-08;4.29708E-11;6.52707E-10
777;PAH, polycyclic aromatic hydrocarbons;Eau;ocean;kg;3.6691E-07;x;3.6258E-07;2.67427E-10;4.0621E-09
778;PAH, polycyclic aromatic hydrocarbons;Eau;river;kg;4.72388E-07;x;4.64273E-07;5.01263E-10;7.61381E-09
779;Particulates, < 2.5 um;Air;;kg;0.007017078;x;0.006982418;1.91342E-06;3.27459E-05
780;Particulates, < 2.5 um;Air;high. pop.;kg;0.000105679;x;0.000104127;9.58248E-08;1.45552E-06
781;Particulates, < 2.5 um;Air;low. pop.;kg;0.000352045;x;0.000348337;2.29029E-07;3.47884E-06
782;Particulates, < 2.5 um;Air;stratosphere + troposphere;kg;9.72401E-13;x;9.65819E-13;4.06575E-16;6.17569E-15
783;Particulates, > 10 um;Air;;kg;0.000484661;x;0.00047733;4.65138E-07;6.86575E-06
784;Particulates, > 10 um;Air;high. pop.;kg;4.80345E-05;x;4.73049E-05;4.50616E-08;6.84475E-07
785;Particulates, > 10 um;Air;low. pop.;kg;0.000967856;x;0.000964069;2.33875E-07;3.55249E-06
786;Particulates, > 2.5 um, and < 10um;Air;;kg;0.000337055;x;0.000328917;4.99329E-07;7.63867E-06
787;Particulates, > 2.5 um, and < 10um;Air;high. pop.;kg;1.8009E-05;x;1.78146E-05;1.20079E-08;1.82392E-07
788;Particulates, > 2.5 um, and < 10um;Air;low. pop.;kg;0.000500434;x;0.000498956;9.12549E-08;1.38613E-06
789;Pd, Pd 2.0E-4%, Pt 4.8E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground;Brut;in ground;kg;2.76395E-09;x;2.72867E-09;2.17948E-12;3.3105E-11
790;Pd, Pd 7.3E-4%, Pt 2.5E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground;Brut;in ground;kg;6.64223E-09;x;6.55743E-09;5.23757E-12;7.9558E-11
791;Peat;Brut;biotic;kg;2.23039E-06;x;2.2106E-06;1.22218E-09;1.85641E-08
792;Pentane;Air;;kg;2.58618E-10;x;2.55346E-10;2.02139E-13;3.07044E-12
793;Pentane;Air;high. pop.;kg;0.000160995;x;0.000158036;1.8277E-07;2.77619E-06
794;Pentane;Air;low. pop.;kg;3.08665E-07;x;3.06124E-07;1.5693E-10;2.38365E-09
795;Phenol;Air;;kg;4.69567E-10;x;4.67315E-10;1.39069E-13;2.11243E-12
796;Phenol;Air;high. pop.;kg;1.65895E-09;x;1.64008E-09;1.16551E-12;1.77039E-11
797;Phenol;Air;low. pop.;kg;1.80873E-08;x;1.7863E-08;1.38524E-11;2.10409E-10
798;Phenol;Eau;;kg;2.98503E-09;x;2.93945E-09;2.81507E-12;4.27602E-11
799;Phenol;Eau;ocean;kg;5.78847E-06;x;5.72016E-06;4.21934E-09;6.40884E-08
800;Phenol;Eau;river;kg;7.45476E-06;x;7.31788E-06;8.45541E-09;1.28431E-07
801;Phenol, 2,4-dichloro-;Air;high. pop.;kg;1.45062E-13;x;1.42752E-13;1.42723E-16;2.16796E-15
802;Phenol, pentachloro-;Air;high. pop.;kg;1.0708E-12;x;1.0601E-12;6.60931E-16;1.00392E-14
803;Phenol, pentachloro-;Air;low. pop.;kg;2.38684E-09;x;2.36722E-09;1.212E-12;1.84094E-11
804;Phosphate;Eau;groundwater;kg;0.000158609;x;0.000157547;6.56109E-08;9.96575E-07
805;Phosphate;Eau;ocean;kg;1.27395E-06;x;1.25784E-06;9.95028E-10;1.51144E-08
806;Phosphate;Eau;river;kg;1.54493E-06;x;1.54042E-06;2.7854E-10;4.23088E-09
807;Phosphine;Air;high. pop.;kg;8.98794E-14;x;8.9503E-14;2.32463E-17;3.53094E-16
808;Phosphorus;Brut;in ground;kg;1.16674E-05;x;1.15194E-05;9.14128E-09;1.38845E-07
809;Phosphorus;Air;;kg;1.50916E-11;x;1.49322E-11;9.8453E-15;1.49547E-13
810;Phosphorus;Air;high. pop.;kg;4.72229E-08;x;4.69888E-08;1.44594E-11;2.1963E-10
811;Phosphorus;Air;low. pop.;kg;5.71987E-09;x;5.70502E-09;9.17364E-13;1.39348E-11
812;Phosphorus;Eau;;kg;2.98578E-09;x;2.94021E-09;2.8146E-12;4.27525E-11
813;Phosphorus;Eau;groundwater;kg;2.28845E-10;x;2.25492E-10;2.07119E-13;3.14608E-12
814;Phosphorus;Eau;ocean;kg;3.65977E-07;x;3.61659E-07;2.66701E-10;4.05105E-09
815;Phosphorus;Eau;river;kg;4.55363E-07;x;4.48022E-07;4.53449E-10;6.88785E-09
816;Phosphorus;Sol;agricultural;kg;1.00099E-07;x;9.92545E-08;5.21657E-11;7.92376E-10
817;Phosphorus;Sol;industrial;kg;3.22504E-06;x;3.1805E-06;2.75114E-09;4.17884E-08
818;Phosphorus, 18% in apatite, 4% in crude ore, in ground;Brut;in ground;kg;2.64994E-05;x;2.61649E-05;2.06582E-08;3.1379E-07
819;Pirimicarb;Sol;agricultural;kg;3.47171E-12;x;3.3422E-12;7.99921E-15;1.21508E-13
820;Platinum;Air;high. pop.;kg;3.63124E-15;x;3.52928E-15;6.29811E-18;9.5663E-17
821;Platinum;Air;low. pop.;kg;1.22029E-13;x;1.20961E-13;6.5944E-17;1.00166E-15
822;Plutonium-238;Air;low. pop.;Bq;1.19302E-09;x;1.18216E-09;6.71358E-13;1.01978E-11
823;Plutonium-alpha;Air;low. pop.;Bq;2.73485E-09;x;2.70993E-09;1.53899E-12;2.33768E-11
824;Polonium-210;Air;;Bq;1.04634E-10;x;1.03601E-10;6.38303E-14;9.69558E-13
825;Polonium-210;Air;high. pop.;Bq;0.009551968;x;0.009533877;1.11744E-06;1.6974E-05
826;Polonium-210;Air;low. pop.;Bq;0.081910533;x;0.081218033;4.27758E-05;0.000649724
827;Polonium-210;Eau;groundwater;Bq;9.73335E-05;x;9.61053E-05;7.58658E-08;1.15238E-06
828;Polonium-210;Eau;ocean;Bq;0.115244737;x;0.113787428;9.00158E-05;0.001367293
829;Polonium-210;Eau;river;Bq;0.020420685;x;0.02025243;1.03931E-05;0.000157862
830;Polychlorinated biphenyls;Air;;kg;2.35277E-09;x;2.34807E-09;2.90047E-13;4.40575E-12
831;Polychlorinated biphenyls;Air;high. pop.;kg;3.78758E-15;x;3.77172E-15;9.79321E-19;1.48757E-17
832;Potassium;Air;high. pop.;kg;1.96293E-06;x;1.94727E-06;9.67324E-10;1.46928E-08
833;Potassium;Air;low. pop.;kg;1.06974E-07;x;1.0675E-07;1.38343E-11;2.10138E-10
834;Potassium;Sol;agricultural;kg;5.56669E-07;x;5.51972E-07;2.90103E-10;4.40657E-09
835;Potassium;Sol;industrial;kg;2.25739E-05;x;2.22621E-05;1.92581E-08;2.92519E-07
836;Potassium-40;Air;;Bq;1.40844E-11;x;1.39453E-11;8.59195E-15;1.30508E-13
837;Potassium-40;Air;high. pop.;Bq;0.00151707;x;0.001514197;1.77474E-07;2.69575E-06
838;Potassium-40;Air;low. pop.;Bq;0.01036271;x;0.010277296;5.27601E-06;8.01381E-05
839;Potassium-40;Eau;groundwater;Bq;7.73116E-06;x;7.6336E-06;6.02589E-09;9.15304E-08
840;Potassium-40;Eau;ocean;Bq;0.009127764;x;0.009012342;7.12944E-06;0.000108293
841;Potassium-40;Eau;river;Bq;0.025634328;x;0.025423117;1.30458E-05;0.000198166
842;Potassium chloride;Brut;in ground;kg;2.12207E-06;x;2.09528E-06;1.6547E-09;2.51343E-08
843;Potassium, ion;Eau;groundwater;kg;2.44816E-05;x;2.42882E-05;1.19448E-08;1.81436E-07
844;Potassium, ion;Eau;ocean;kg;0.000195015;x;0.000192714;1.42139E-07;2.15906E-06
845;Potassium, ion;Eau;river;kg;0.000415418;x;0.000408078;4.53394E-07;6.88674E-06
846;Propanal;Air;;kg;7.89349E-18;x;7.79361E-18;6.16969E-21;9.37127E-20
847;Propanal;Air;high. pop.;kg;1.42244E-10;x;1.39904E-10;1.4453E-13;2.19536E-12
848;Propanal;Eau;river;kg;1.28903E-13;x;1.27932E-13;5.99803E-17;9.1105E-16
849;Propane;Air;;kg;1.58545E-10;x;1.56538E-10;1.23923E-13;1.88232E-12
850;Propane;Air;high. pop.;kg;0.000123192;x;0.000120893;1.42036E-07;2.15746E-06
851;Propane;Air;low. pop.;kg;1.19293E-05;x;1.18386E-05;5.60245E-09;8.50994E-08
852;Propene;Air;;kg;1.86888E-13;x;1.84524E-13;1.46077E-16;2.21878E-15
853;Propene;Air;high. pop.;kg;5.93357E-06;x;5.82307E-06;6.82549E-09;1.03674E-07
854;Propene;Air;low. pop.;kg;2.05879E-07;x;2.0511E-07;4.74625E-11;7.20939E-10
855;Propene;Eau;river;kg;2.23829E-07;x;2.20282E-07;2.191E-10;3.32801E-09
856;Propionic acid;Air;;kg;3.59816E-12;x;3.55263E-12;2.81239E-15;4.27193E-14
857;Propionic acid;Air;high. pop.;kg;6.37E-08;x;6.35366E-08;1.00884E-11;1.53243E-10
858;Propionic acid;Eau;river;kg;3.75226E-13;x;3.68689E-13;4.03796E-16;6.13315E-15
859;Propylamine;Air;high. pop.;kg;2.14877E-14;x;2.13258E-14;9.99842E-18;1.51878E-16
860;Propylamine;Eau;river;kg;5.15695E-14;x;5.1181E-14;2.39968E-17;3.64503E-16
861;Propylene oxide;Air;high. pop.;kg;7.95961E-09;x;7.74008E-09;1.35596E-11;2.05967E-10
862;Propylene oxide;Eau;river;kg;1.91493E-08;x;1.86211E-08;3.26267E-11;4.95586E-10
863;Protactinium-234;Air;low. pop.;Bq;0.001188027;x;0.001176707;6.99227E-07;1.0621E-05
864;Protactinium-234;Eau;river;Bq;0.021904575;x;0.021695896;1.28895E-05;0.00019579
865;Pt, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground;Brut;in ground;kg;6.72249E-11;x;6.6371E-11;5.27395E-14;8.01105E-13
866;Pt, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground;Brut;in ground;kg;2.40994E-10;x;2.37933E-10;1.89069E-13;2.87182E-12
867;Radioactive species, alpha emitters;Eau;river;Bq;0.000226442;x;0.000223577;1.76914E-07;2.68729E-06
868;Radioactive species, Nuclides, unspecified;Eau;ocean;Bq;8.492713044;x;8.41534272;0.004779163;0.07259116
869;Radioactive species, Nuclides, unspecified;Eau;river;Bq;0.026040101;x;0.025795495;1.51089E-05;0.000229497
870;Radioactive species, other beta emitters;Air;high. pop.;Bq;0.035811132;x;0.034178054;0.000100868;0.00153221
871;Radioactive species, other beta emitters;Air;low. pop.;Bq;5.1438E-05;x;5.10063E-05;2.66661E-08;4.05044E-07
872;Radium-224;Eau;ocean;Bq;2.313269247;x;2.285969168;0.001686267;0.025613812
873;Radium-224;Eau;river;Bq;4.602775486;x;4.518768936;0.005188871;0.07881768
874;Radium-226;Air;;Bq;1.47792E-11;x;1.46332E-11;9.01579E-15;1.36945E-13
875;Radium-226;Air;high. pop.;Bq;0.001348502;x;0.001345948;1.57758E-07;2.3963E-06
876;Radium-226;Air;low. pop.;Bq;0.05035258;x;0.049884143;2.89345E-05;0.000439503
877;Radium-226;Eau;;Bq;2.72687E-05;x;2.69237E-05;2.13141E-08;3.23751E-07
878;Radium-226;Eau;groundwater;Bq;7.17494E-05;x;7.0844E-05;5.59234E-08;8.49448E-07
879;Radium-226;Eau;ocean;Bq;3.786381859;x;3.741626768;0.002764483;0.041990608
880;Radium-226;Eau;river;Bq;21.00173856;x;20.73742917;0.016325967;0.247983425
881;Radium-228;Air;;Bq;4.37885E-12;x;4.3356E-12;2.67135E-15;4.05768E-14
882;Radium-228;Air;high. pop.;Bq;0.007304104;x;0.007290276;8.54144E-07;1.2974E-05
883;Radium-228;Air;low. pop.;Bq;0.003933206;x;0.003900809;2.0011E-06;3.03961E-05
884;Radium-228;Eau;;Bq;3.83713E-05;x;3.78857E-05;2.99921E-08;4.55564E-07
885;Radium-228;Eau;ocean;Bq;4.626708619;x;4.572109014;0.003372534;0.051227072
886;Radium-228;Eau;river;Bq;9.205530464;x;9.037522571;0.010378058;0.157629834
887;Radon-220;Air;;Bq;3.07372E-10;x;3.04337E-10;1.87506E-13;2.84818E-12
888;Radon-220;Air;high. pop.;Bq;0.000112472;x;0.000112258;1.32139E-08;2.00707E-07
889;Radon-220;Air;low. pop.;Bq;0.474598333;x;0.470689778;0.000241429;0.003667127
890;Radon-222;Air;;Bq;1.72634E-10;x;1.70929E-10;1.05312E-13;1.59967E-12
891;Radon-222;Air;high. pop.;Bq;0.000112434;x;0.00011222;1.31902E-08;2.00354E-07
892;Radon-222;Air;low. pop.;Bq;3715.328835;x;3679.166404;2.233701657;33.92872928
893;Rh, Rh 2.0E-5%, Pt 2.5E-4%, Pd 7.3E-4%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground;Brut;in ground;kg;6.22827E-11;x;6.14763E-11;4.98122E-14;7.5663E-13
894;Rh, Rh 2.4E-5%, Pt 4.8E-4%, Pd 2.0E-4%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground;Brut;in ground;kg;1.95077E-10;x;1.92551E-10;1.56022E-13;2.36983E-12
895;Rhenium;Brut;in ground;kg;8.756E-11;x;8.60775E-11;9.15706E-14;1.39094E-12
896;Rubidium;Eau;ocean;kg;4.62671E-07;x;4.57211E-07;3.37253E-10;5.12271E-09
897;Rubidium;Eau;river;kg;9.20553E-07;x;9.03752E-07;1.03781E-09;1.5763E-08
898;Ruthenium-103;Air;low. pop.;Bq;1.53871E-09;x;1.49251E-09;2.85343E-12;4.3342E-11
899;Ruthenium-103;Eau;river;Bq;1.49499E-06;x;1.45011E-06;2.77238E-09;4.21105E-08
900;Sand;Brut;in ground;kg;1.13661E-06;x;1.12602E-06;6.54104E-10;9.93536E-09
901;Scandium;Air;high. pop.;kg;1.4159E-10;x;1.41321E-10;1.65596E-14;2.51525E-13
902;Scandium;Air;low. pop.;kg;2.36299E-10;x;2.35612E-10;4.24357E-14;6.44586E-13
903;Scandium;Eau;groundwater;kg;1.42293E-08;x;1.41137E-08;7.13599E-12;1.08392E-10
904;Scandium;Eau;river;kg;1.00292E-08;x;9.95252E-09;4.73781E-12;7.19669E-11
905;Selenium;Air;;kg;1.75928E-08;x;1.72514E-08;2.24507E-11;3.1895E-10
906;Selenium;Air;high. pop.;kg;3.59376E-08;x;3.54009E-08;3.31531E-11;5.03575E-10
907;Selenium;Air;low. pop.;kg;3.56433E-08;x;3.53176E-08;2.01168E-11;3.05564E-10
908;Selenium;Air;stratosphere + troposphere;kg;2.55897E-16;x;2.54165E-16;1.06993E-19;1.62519E-18
909;Selenium;Eau;;kg;4.57722E-14;x;4.5193E-14;3.57766E-17;5.43436E-16
910;Selenium;Eau;groundwater;kg;3.03432E-08;x;3.01007E-08;1.49787E-11;2.27519E-10
911;Selenium;Eau;ocean;kg;1.4176E-08;x;1.40087E-08;1.03331E-11;1.56956E-10
912;Selenium;Eau;river;kg;2.44991E-08;x;2.41432E-08;2.1985E-11;3.33945E-10
913;Shale;Brut;in ground;kg;2.65032E-08;x;2.60856E-08;2.57932E-11;3.91785E-10
914;Silicon;Air;;kg;6.00495E-15;x;5.93367E-15;4.40331E-18;6.6884E-17
915;Silicon;Air;high. pop.;kg;1.84333E-06;x;1.83892E-06;2.72762E-10;4.14309E-09
916;Silicon;Air;low. pop.;kg;1.346E-06;x;1.34303E-06;1.83457E-10;2.78663E-09
917;Silicon;Eau;groundwater;kg;1.9577E-05;x;1.94226E-05;9.53512E-09;1.44834E-07
918;Silicon;Eau;ocean;kg;1.39305E-08;x;1.37306E-08;1.23457E-11;1.87525E-10
919;Silicon;Eau;river;kg;1.65808E-05;x;1.65155E-05;4.03181E-09;6.12431E-08
920;Silicon;Sol;agricultural;kg;8.65762E-07;x;8.58363E-07;4.57009E-10;6.94199E-09
921;Silicon;Sol;industrial;kg;6.44991E-06;x;6.36084E-06;5.50221E-09;8.35746E-08
922;Silicon tetrafluoride;Air;low. pop.;kg;2.00231E-10;x;1.97704E-10;1.56069E-13;2.37055E-12
923;Silver;Air;high. pop.;kg;4.22627E-11;x;4.18843E-11;2.33749E-14;3.5505E-13
924;Silver;Air;low. pop.;kg;1.20772E-13;x;1.1971E-13;6.55777E-17;9.96077E-16
925;Silver-110;Air;low. pop.;Bq;1.52497E-08;x;1.47919E-08;2.82794E-11;4.29552E-10
926;Silver-110;Eau;river;Bq;0.013388551;x;0.013162682;1.39519E-05;0.000211917
927;Silver, 0.007% in sulfide, Ag 0.004%, Pb, Zn, Cd, In, in ground;Brut;in ground;kg;8.37735E-09;x;8.34121E-09;2.23181E-12;3.39E-11
928;Silver, 3.2ppm in sulfide, Ag 1.2ppm, Cu and Te, in crude ore, in ground;Brut;in ground;kg;5.97883E-09;x;5.95304E-09;1.59345E-12;2.42033E-11
929;Silver, Ag 2.1E-4%, Au 2.1E-4%, in ore, in ground;Brut;in ground;kg;5.51776E-10;x;5.49397E-10;1.46985E-13;2.23265E-12
930;Silver, Ag 4.2E-3%, Au 1.1E-4%, in ore, in ground;Brut;in ground;kg;1.26019E-09;x;1.25476E-09;3.35699E-13;5.09917E-12
931;Silver, Ag 4.6E-5%, Au 1.3E-4%, in ore, in ground;Brut;in ground;kg;1.2352E-09;x;1.22987E-09;3.29045E-13;4.99801E-12
932;Silver, Ag 9.7E-4%, Au 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore, in ground;Brut;in ground;kg;8.15053E-10;x;8.11538E-10;2.17119E-13;3.29796E-12
