SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:50;;;
Projet;_Forest resources database;;;;;;;
;;;;;;;;
;;;;;;;;
Calculation: ;Analyser;;;;;;;
Results: ;Inventaire;;;;;;;
Product: ;1 ha _Oak forest manual clearance by brush-cutter, in forest/FR U (of project _Forest resources database);;;;;;;
Méthode: ;;;;;;;;
Indicateur: ;Inventaire;;;;;;;
Unité: ;?;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;
Per sub-compartment: ;Oui;;;;;;;
Default units: ;Non;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;
Sorted on item: ;Substance;;;;;;;
Sort order: ;Croissant;;;;;;;
;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak forest manual clearance by brush-cutter, in forest/FR U;_Power sawing, without catalytic converter/hr/RER_Brush-cutter/hr/FR U;Operation, passenger car, diesel, fleet average/RER S
146;Benzo(a)pyrene;Air;;kg;2.22054E-08;x;2.0637E-08;1.56838E-09
147;Benzo(a)pyrene;Air;high. pop.;kg;6.17109E-10;x;5.11564E-10;1.05545E-10
148;Benzo(a)pyrene;Air;low. pop.;kg;4.31967E-08;x;3.34373E-08;9.75939E-09
149;Beryllium;Air;;kg;2.90888E-10;x;1.89219E-10;1.0167E-10
150;Beryllium;Air;high. pop.;kg;6.17463E-09;x;6.09832E-09;7.63096E-11
151;Beryllium;Air;low. pop.;kg;3.10699E-09;x;3.01478E-09;9.2212E-11
152;Beryllium;Eau;;kg;2.99971E-12;x;2.50483E-12;4.94874E-13
153;Beryllium;Eau;groundwater;kg;9.13506E-09;x;7.41041E-09;1.72465E-09
154;Beryllium;Eau;river;kg;5.95104E-10;x;4.61578E-10;1.33526E-10
155;BOD5, Biological Oxygen Demand;Eau;;kg;8.33568E-05;x;7.25889E-05;1.07678E-05
156;BOD5, Biological Oxygen Demand;Eau;groundwater;kg;1.35896E-07;x;1.14354E-07;2.15419E-08
157;BOD5, Biological Oxygen Demand;Eau;ocean;kg;0.040479874;x;0.027880205;0.01259967
158;BOD5, Biological Oxygen Demand;Eau;river;kg;0.209491481;x;0.152612272;0.056879209
159;Borate;Eau;river;kg;5.7107E-11;x;4.41248E-11;1.29823E-11
160;Borax;Brut;in ground;kg;7.21748E-08;x;4.11162E-08;3.10586E-08
161;Boron;Air;;kg;2.40071E-15;x;1.78237E-15;6.18339E-16
162;Boron;Air;high. pop.;kg;2.29515E-06;x;2.27232E-06;2.28291E-08
163;Boron;Air;low. pop.;kg;2.05979E-05;x;1.57934E-05;4.80452E-06
164;Boron;Eau;;kg;9.39531E-10;x;7.84534E-10;1.54997E-10
165;Boron;Eau;groundwater;kg;8.39403E-06;x;7.10528E-06;1.28874E-06
166;Boron;Eau;ocean;kg;3.1872E-06;x;2.34155E-06;8.45648E-07
167;Boron;Eau;river;kg;5.62535E-06;x;3.65309E-06;1.97227E-06
168;Boron;Sol;;kg;2.33732E-07;x;1.57617E-07;7.61145E-08
169;Boron;Sol;agricultural;kg;4.44165E-09;x;2.80657E-09;1.63508E-09
170;Boron;Sol;industrial;kg;5.57977E-06;x;3.89249E-06;1.68728E-06
171;Boron trifluoride;Air;high. pop.;kg;7.59334E-17;x;6.27771E-17;1.31563E-17
172;Bromate;Eau;river;kg;1.431E-06;x;1.10631E-06;3.24685E-07
173;Bromide;Eau;river;kg;8.02436E-09;x;5.8483E-09;2.17605E-09
174;Bromine;Brut;in water;kg;8.016E-09;x;5.87753E-09;2.13846E-09
175;Bromine;Air;;kg;1.96908E-15;x;1.46301E-15;5.06073E-16
176;Bromine;Air;high. pop.;kg;1.01725E-07;x;9.07669E-08;1.09582E-08
177;Bromine;Air;low. pop.;kg;2.2557E-06;x;1.73062E-06;5.25079E-07
178;Bromine;Eau;;kg;6.41447E-08;x;5.35624E-08;1.05823E-08
179;Bromine;Eau;groundwater;kg;5.93293E-07;x;4.54536E-07;1.38757E-07
180;Bromine;Eau;ocean;kg;0.000268717;x;0.000196322;7.23957E-05
181;Bromine;Eau;river;kg;0.000615533;x;0.000391726;0.000223807
182;Butadiene;Air;;kg;4.03763E-11;x;3.89294E-11;1.44691E-12
183;Butadiene;Air;high. pop.;kg;1.80008E-13;x;1.45888E-13;3.41193E-14
184;Butadiene;Air;low. pop.;kg;2.84729E-12;x;2.74525E-12;1.02039E-13
185;Butadiene;Air;stratosphere + troposphere;kg;1.73047E-11;x;1.66845E-11;6.20123E-13
186;Butane;Air;;kg;3.02556E-09;x;2.52641E-09;4.99146E-10
187;Butane;Air;high. pop.;kg;0.001211338;x;0.000768609;0.000442728
188;Butane;Air;low. pop.;kg;3.13905E-05;x;2.34652E-05;7.92532E-06
189;Butene;Air;high. pop.;kg;2.81729E-05;x;1.78652E-05;1.03077E-05
190;Butene;Eau;river;kg;2.8174E-07;x;2.81524E-07;2.16568E-10
191;Butyl acetate;Eau;river;kg;4.05079E-09;x;3.34697E-09;7.03812E-10
192;Butyrolactone;Air;high. pop.;kg;2.88408E-12;x;2.38117E-12;5.02916E-13
193;Butyrolactone;Eau;river;kg;6.92182E-12;x;5.71483E-12;1.20698E-12
194;Cadmium;Brut;in ground;kg;8.78497E-07;x;3.13486E-07;5.65011E-07
195;Cadmium;Air;;kg;9.66882E-08;x;1.16259E-08;8.50623E-08
196;Cadmium;Air;high. pop.;kg;1.07217E-06;x;8.35919E-07;2.36255E-07
197;Cadmium;Air;low. pop.;kg;1.35138E-07;x;1.10759E-07;2.43784E-08
198;Cadmium;Air;stratosphere + troposphere;kg;9.15563E-15;x;8.82753E-15;3.28109E-16
199;Cadmium;Sol;;kg;1.12317E-08;x;1.55922E-10;1.10758E-08
200;Cadmium;Sol;agricultural;kg;1.90307E-09;x;1.5622E-09;3.40869E-10
201;Cadmium, ion;Eau;;kg;1.26567E-07;x;9.70333E-08;2.95338E-08
202;Cadmium, ion;Eau;groundwater;kg;1.05272E-08;x;8.79327E-09;1.7339E-09
203;Cadmium, ion;Eau;lake;kg;1.89553E-14;x;1.56496E-14;3.30574E-15
204;Cadmium, ion;Eau;ocean;kg;1.03805E-07;x;7.6148E-08;2.76566E-08
205;Cadmium, ion;Eau;river;kg;1.51134E-07;x;1.08679E-07;4.24547E-08
206;Calcite;Brut;in ground;kg;0.32252263;x;0.257786473;0.064736156
207;Calcium;Air;high. pop.;kg;1.43969E-05;x;1.26941E-05;1.70278E-06
208;Calcium;Air;low. pop.;kg;2.58742E-07;x;2.13965E-07;4.4777E-08
