SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:55;;;;;;;
Projet;_Forest resources database;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Calculation: ;Analyser;;;;;;;;;;;
Results: ;Inventaire;;;;;;;;;;;
Product: ;1 ha _Oak forest rack cleaning by gyratory crusher, in forest/FR U (of project _Forest resources database);;;;;;;;;;;
Méthode: ;;;;;;;;;;;;
Indicateur: ;Inventaire;;;;;;;;;;;
Unité: ;?;;;;;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;;;;;
Per sub-compartment: ;Oui;;;;;;;;;;;
Default units: ;Non;;;;;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;;;;;
Sorted on item: ;Substance;;;;;;;;;;;
Sort order: ;Croissant;;;;;;;;;;;
;;;;;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak forest rack cleaning by gyratory crusher, in forest/FR U;Operation, lorry 3.5-16t, fleet average/RER S;Diesel, at regional storage/RER S;_Tillage, ploughing/CH U_Air emissions of tractor diesel combustion, in forest/FR U;_Tillage, ploughing/CH U_Soil emissions from tyre abrasion of tractor, in forest/FR U;Tractor, production/CH/I S;Agricultural machinery, general, production/CH/I S
537;Iodine;Air;high. pop.;kg;1.0133E-07;x;8.0954E-11;1.50133E-09;x;x;3.60312E-08;6.37165E-08
538;Iodine;Air;low. pop.;kg;2.70245E-06;x;4.9747E-08;1.03502E-06;x;x;8.54124E-07;7.63557E-07
539;Iodine-129;Air;low. pop.;Bq;0.246024266;x;0.0026549;0.049902216;x;x;0.09215375;0.1013134
540;Iodine-131;Air;low. pop.;Bq;6.333174844;x;0.12115;2.5205544;x;x;1.787277778;1.904192667
541;Iodine-131;Eau;river;Bq;0.027668795;x;0.00016165;0.002389078;x;x;0.011579028;0.01353904
542;Iodine-133;Air;low. pop.;Bq;0.003506309;x;0.000012242;0.000107658;x;x;0.001532142;0.001854267
543;Iodine-133;Eau;river;Bq;0.004205347;x;0.000012117;6.86999E-05;x;x;0.001855147;0.002269383
544;Iodine-135;Air;low. pop.;Bq;0.000927199;x;7.3118E-06;0.000124412;x;x;0.000377154;0.000418322
545;Iron;Brut;in ground;kg;5.326328895;x;0.010137;0.193340784;x;x;1.554077778;3.568773333
546;Iron;Air;;kg;5.29668E-06;x;7.0352E-08;1.39536E-06;x;x;1.35222E-06;2.47875E-06
547;Iron;Air;high. pop.;kg;4.50875E-05;x;2.5968E-07;5.39492E-06;x;x;1.44036E-05;2.50293E-05
548;Iron;Air;low. pop.;kg;1.48073E-05;x;2.6489E-08;5.02189E-07;x;x;4.30713E-06;9.9715E-06
549;Iron;Sol;;kg;0.000515444;x;0.000020799;0.000111194;x;x;0.000147899;0.000235552
550;Iron;Sol;agricultural;kg;9.3329E-06;x;2.2275E-07;4.1175E-06;x;x;0.000002756;2.23665E-06
551;Iron;Sol;industrial;kg;0.001615759;x;0.000059365;0.001434757;x;x;7.71606E-05;4.44765E-05
552;Iron-59;Eau;river;Bq;0.001156149;x;3.3312E-06;1.88872E-05;x;x;0.000510037;0.000623894
553;Iron, ion;Eau;;kg;9.74427E-05;x;0.000002668;6.16674E-05;x;x;1.28937E-05;2.02136E-05
554;Iron, ion;Eau;groundwater;kg;0.002867036;x;0.000053086;0.001104929;x;x;0.000881478;0.000827542
555;Iron, ion;Eau;ocean;kg;3.07238E-05;x;9.7341E-07;2.77412E-05;x;x;1.3073E-06;7.01915E-07
556;Iron, ion;Eau;river;kg;0.000169102;x;5.9213E-06;0.000120437;x;x;2.13811E-05;2.13633E-05
557;Isocyanic acid;Air;high. pop.;kg;1.13825E-07;x;2.2389E-09;2.60966E-08;x;x;3.83735E-08;4.71158E-08
558;Isoprene;Air;;kg;1.21365E-15;x;9.9566E-19;1.42799E-17;x;x;9.96621E-16;2.01751E-16
559;Isoprene;Air;low. pop.;kg;1.7144E-09;x;6.1169E-11;1.36052E-09;x;x;2.10248E-10;8.24557E-11
560;Isopropylamine;Air;high. pop.;kg;7.03303E-12;x;8.8877E-15;6.6505E-14;x;x;2.77219E-12;4.18544E-12
561;Isopropylamine;Eau;river;kg;1.68796E-11;x;2.1331E-14;1.59613E-13;x;x;6.65341E-12;1.00453E-11
562;Kaolinite;Brut;in ground;kg;0.001784458;x;7.0778E-07;6.64875E-06;x;x;0.001730008;4.70936E-05
563;Kieserite;Brut;in ground;kg;2.43878E-05;x;9.1775E-09;4.7395E-08;x;x;2.4143E-05;1.88256E-07
564;Krypton-85;Air;low. pop.;Bq;55.59452084;x;0.97033;19.9390464;x;x;16.60077778;18.08436667
565;Krypton-85m;Air;low. pop.;Bq;37.83455677;x;0.12209;0.92527344;x;x;16.5625;20.22469333
566;Krypton-87;Air;low. pop.;Bq;8.822746578;x;0.035342;0.3771768;x;x;3.795094444;4.615133333
567;Krypton-88;Air;low. pop.;Bq;11.34920591;x;0.040461;0.36769824;x;x;4.930766667;6.01028
568;Krypton-89;Air;low. pop.;Bq;4.675860016;x;0.014118;0.091562016;x;x;2.0564;2.51378
569;Lactic acid;Air;high. pop.;kg;1.1151E-11;x;1.0616E-13;2.21436E-12;x;x;4.35645E-12;4.47404E-12
570;Lactic acid;Eau;river;kg;2.67626E-11;x;2.5479E-13;5.31455E-12;x;x;1.04556E-11;1.07376E-11
571;Lanthanum-140;Air;low. pop.;Bq;0.000220067;x;6.3407E-07;3.59508E-06;x;x;9.70828E-05;0.000118755
572;Lanthanum-140;Eau;river;Bq;0.007134946;x;0.000020557;0.000116558;x;x;0.003147611;0.00385022
573;Lead;Brut;in ground;kg;0.016009724;x;8.8348E-06;7.52322E-05;x;x;0.015874972;5.06851E-05
574;Lead;Air;;kg;1.83538E-05;x;1.0906E-06;7.80627E-07;x;x;5.0244E-06;1.14582E-05
575;Lead;Air;high. pop.;kg;2.94654E-06;x;1.0164E-07;1.71896E-06;x;x;5.44369E-07;5.81566E-07
576;Lead;Air;low. pop.;kg;4.27899E-05;x;4.908E-08;7.35549E-07;x;x;2.84433E-05;1.3562E-05
577;Lead;Air;stratosphere + troposphere;kg;5.79051E-15;x;1.1544E-16;2.02009E-15;x;x;2.68062E-15;9.74358E-16
578;Lead;Eau;;kg;1.45827E-06;x;3.3432E-07;1.42406E-07;x;x;3.13377E-07;6.68171E-07
579;Lead;Eau;groundwater;kg;6.16315E-08;x;1.2899E-10;2.13469E-09;x;x;4.14902E-08;1.78777E-08
580;Lead;Eau;lake;kg;1.28874E-13;x;1.7231E-15;1.23488E-14;x;x;8.59248E-14;2.88773E-14
581;Lead;Eau;ocean;kg;4.24309E-06;x;1.3408E-07;3.82244E-06;x;x;1.8522E-07;1.01355E-07
582;Lead;Eau;river;kg;6.50434E-06;x;1.7982E-07;2.45241E-06;x;x;2.29961E-06;1.5725E-06
583;Lead;Sol;;kg;3.60477E-07;x;3.2781E-07;8.53049E-09;x;x;1.11619E-08;1.29749E-08
584;Lead;Sol;agricultural;kg;3.12316E-06;x;3.2429E-10;6.05055E-09;x;3.09524E-06;8.97158E-09;1.25768E-08
585;Lead-210;Air;;Bq;2.38972E-09;x;1.8845E-11;3.20655E-10;x;x;9.72064E-10;1.07816E-09
586;Lead-210;Air;high. pop.;Bq;0.411512374;x;0.00032979;0.006120223;x;x;0.145174361;0.259888
587;Lead-210;Air;low. pop.;Bq;0.88115924;x;0.013169;0.26614224;x;x;0.310756667;0.291091333
588;Lead-210;Eau;;Bq;0.003063387;x;2.5132E-06;3.60447E-05;x;x;0.002515586;0.000509243
589;Lead-210;Eau;groundwater;Bq;0.000973447;x;0.000026895;0.000640436;x;x;0.000150829;0.000155287
590;Lead-210;Eau;ocean;Bq;1.206909922;x;0.03182;0.75621;x;x;0.197881389;0.220998533
591;Lead-210;Eau;river;Bq;0.326172951;x;0.0056065;0.11631984;x;x;0.115754944;0.088491667
592;Linuron;Sol;agricultural;kg;5.80762E-07;x;6.8875E-10;4.02533E-09;x;x;1.96674E-07;3.79373E-07
593;Lithium;Brut;in ground;kg;3.3832E-10;x;4.9276E-13;5.62948E-12;x;x;1.93391E-10;1.38807E-10
594;Lithium, ion;Eau;;kg;1.13792E-05;x;9.3354E-09;1.33888E-07;x;x;9.34434E-06;1.89164E-06
595;Lithium, ion;Eau;river;kg;5.35376E-10;x;7.7977E-13;8.90832E-12;x;x;3.06031E-10;2.19657E-10
596;m-Xylene;Air;high. pop.;kg;1.78468E-07;x;2.6222E-09;5.29402E-08;x;x;6.65695E-08;5.63362E-08
597;m-Xylene;Eau;;kg;3.20682E-10;x;2.6309E-13;3.7733E-12;x;x;2.63336E-10;5.33096E-11
598;m-Xylene;Eau;river;kg;2.83386E-11;x;4.1749E-14;4.8926E-13;x;x;1.66494E-11;1.11582E-11
599;Magnesite;Brut;in ground;kg;0.009658258;x;0.00013264;0.002522302;x;x;0.002482903;0.004520413
600;Magnesium;Brut;in water;kg;1.22531E-07;x;1.3993E-09;2.49915E-08;x;x;4.89529E-08;4.71873E-08
601;Magnesium;Air;;kg;2.19603E-10;x;1.8017E-13;2.58389E-12;x;x;1.80333E-10;3.65067E-11
602;Magnesium;Air;high. pop.;kg;3.42062E-05;x;3.6093E-08;6.79049E-07;x;x;1.21327E-05;2.13584E-05
603;Magnesium;Air;low. pop.;kg;1.1708E-05;x;2.2538E-08;4.29025E-07;x;x;3.43558E-06;7.82081E-06
604;Magnesium;Eau;;kg;6.6406E-06;x;5.4479E-09;7.81348E-08;x;x;5.45311E-06;1.10391E-06
605;Magnesium;Eau;groundwater;kg;0.001056111;x;9.4014E-06;0.000191985;x;x;0.000428461;0.000426265
606;Magnesium;Eau;ocean;kg;0.003162344;x;0.00010024;0.002860166;x;x;0.000132915;6.90223E-05
607;Magnesium;Eau;river;kg;0.006245223;x;0.00029495;0.005345558;x;x;0.000387298;0.000217417
608;Magnesium;Sol;agricultural;kg;6.01791E-06;x;1.0171E-07;2.03551E-06;x;x;1.88047E-06;2.00022E-06
609;Magnesium;Sol;industrial;kg;0.000646312;x;0.000023746;0.000573912;x;x;3.08637E-05;1.77908E-05
610;Mancozeb;Sol;agricultural;kg;1.23164E-07;x;2.0493E-10;2.9864E-09;x;x;9.36142E-08;2.63588E-08
611;Manganese;Brut;in ground;kg;0.005006789;x;0.000014294;0.000223969;x;x;0.001874139;0.002894387
612;Manganese;Air;;kg;4.14701E-06;x;9.7381E-09;1.91703E-07;x;x;1.20116E-06;2.74441E-06
613;Manganese;Air;high. pop.;kg;5.17123E-07;x;5.0788E-09;1.02873E-07;x;x;1.85662E-07;2.2351E-07
614;Manganese;Air;low. pop.;kg;5.16423E-06;x;9.8208E-09;1.68583E-07;x;x;3.10359E-06;1.88224E-06
615;Manganese;Eau;;kg;6.00054E-07;x;1.0152E-08;2.13368E-07;x;x;1.40287E-07;2.36247E-07
616;Manganese;Eau;groundwater;kg;5.42685E-05;x;4.7948E-07;9.8149E-06;x;x;0.00002014;2.38342E-05
617;Manganese;Eau;ocean;kg;2.53189E-05;x;8.0248E-07;2.28949E-05;x;x;1.0662E-06;5.55321E-07
618;Manganese;Eau;river;kg;5.73331E-05;x;2.4489E-06;4.45383E-05;x;x;5.69573E-06;4.65016E-06
619;Manganese;Sol;agricultural;kg;3.62563E-06;x;5.9666E-08;1.2022E-06;x;x;1.13738E-06;1.22638E-06
620;Manganese;Sol;industrial;kg;3.23156E-05;x;1.1873E-06;2.86956E-05;x;x;1.54318E-06;8.89554E-07
621;Manganese-54;Air;low. pop.;Bq;2.04842E-05;x;5.902E-08;3.34632E-07;x;x;9.03665E-06;1.10539E-05
622;Manganese-54;Eau;river;Bq;0.139401489;x;0.0005768;0.006428167;x;x;0.060293389;0.072103133
623;Mercury;Air;;kg;1.06406E-06;x;1.084E-08;2.05654E-07;x;x;2.84669E-07;5.62893E-07
624;Mercury;Air;high. pop.;kg;1.61656E-07;x;4.0427E-09;8.08233E-08;x;x;4.15859E-08;3.52043E-08
625;Mercury;Air;low. pop.;kg;4.5372E-07;x;1.6624E-08;2.09229E-07;x;x;1.49651E-07;7.82155E-08
626;Mercury;Air;stratosphere + troposphere;kg;2.0266E-17;x;4.0403E-19;7.07004E-18;x;x;9.38174E-18;3.41017E-18
627;Mercury;Eau;;kg;6.91623E-08;x;5.7388E-10;1.19157E-08;x;x;1.81952E-08;3.84775E-08
628;Mercury;Eau;groundwater;kg;4.94793E-09;x;5.1036E-11;1.05203E-09;x;x;1.59324E-09;2.25162E-09
629;Mercury;Eau;lake;kg;1.11478E-15;x;1.4905E-17;1.06819E-16;x;x;7.43251E-16;2.49799E-16
630;Mercury;Eau;ocean;kg;1.24024E-08;x;3.8525E-10;1.09737E-08;x;x;6.31245E-10;4.12155E-10
631;Mercury;Eau;river;kg;2.38897E-08;x;2.8431E-10;5.24662E-09;x;x;1.08978E-08;7.46093E-09
632;Mercury;Sol;agricultural;kg;5.64724E-10;x;1.3221E-12;1.64979E-11;x;x;2.04506E-10;3.42398E-10
633;Metaldehyde;Sol;agricultural;kg;2.60624E-09;x;3.1107E-12;1.87962E-11;x;x;9.00485E-10;1.68385E-09
634;Metamorphous rock, graphite containing;Brut;in ground;kg;9.97382E-05;x;1.0684E-07;1.18375E-06;x;x;9.59079E-05;2.53968E-06
635;Methane, biogenic;Air;;kg;0.000244715;x;3.2146E-06;6.2932E-05;x;x;8.34765E-05;9.50925E-05
636;Methane, biogenic;Air;high. pop.;kg;2.02021E-05;x;4.4741E-08;6.69025E-07;x;x;1.60354E-05;3.45284E-06
637;Methane, biogenic;Air;low. pop.;kg;0.000109938;x;0.000001626;3.34327E-05;x;x;4.14902E-05;3.33888E-05
638;Methane, bromo-, Halon 1001;Air;;kg;1.71066E-15;x;1.4034E-18;2.01277E-17;x;x;1.40475E-15;2.84382E-16
639;Methane, bromochlorodifluoro-, Halon 1211;Air;low. pop.;kg;6.96784E-08;x;6.3069E-10;1.39379E-08;x;x;2.50042E-08;3.01057E-08
640;Methane, bromotrifluoro-, Halon 1301;Air;high. pop.;kg;4.3219E-12;x;1.6132E-15;6.68086E-15;x;x;4.29786E-12;1.57492E-14
641;Methane, bromotrifluoro-, Halon 1301;Air;low. pop.;kg;9.91687E-07;x;5.6639E-08;8.31973E-07;x;x;6.71407E-08;3.59344E-08
642;Methane, chlorodifluoro-, HCFC-22;Air;high. pop.;kg;3.11187E-09;x;5.8489E-11;7.98077E-10;x;x;1.48312E-09;7.7219E-10
643;Methane, chlorodifluoro-, HCFC-22;Air;low. pop.;kg;2.64233E-07;x;2.5769E-09;5.48512E-08;x;x;9.43371E-08;1.12468E-07
644;Methane, dichloro-, HCC-30;Air;high. pop.;kg;4.30166E-10;x;3.7483E-12;5.85225E-11;x;x;1.96262E-10;1.71633E-10
645;Methane, dichloro-, HCC-30;Air;low. pop.;kg;7.22053E-10;x;3.9803E-12;6.72519E-11;x;x;3.93967E-10;2.56854E-10
646;Methane, dichloro-, HCC-30;Eau;river;kg;2.04529E-05;x;7.5146E-07;1.81615E-05;x;x;9.7679E-07;5.6314E-07
647;Methane, dichlorodifluoro-, CFC-12;Air;;kg;1.13736E-15;x;9.3307E-19;1.33822E-17;x;x;9.33978E-16;1.8907E-16
648;Methane, dichlorodifluoro-, CFC-12;Air;high. pop.;kg;1.9256E-10;x;2.7795E-12;3.32929E-11;x;x;1.07793E-10;4.86945E-11
649;Methane, dichlorodifluoro-, CFC-12;Air;low. pop.;kg;3.05647E-10;x;4.3609E-12;1.10797E-10;x;x;8.73337E-11;1.03156E-10
650;Methane, dichlorofluoro-, HCFC-21;Air;high. pop.;kg;4.25594E-13;x;5.5694E-15;5.17237E-14;x;x;2.57713E-13;1.10588E-13
651;Methane, fossil;Air;;kg;0.000349456;x;0.00025222;2.4594E-05;x;x;5.20828E-05;2.05587E-05
652;Methane, fossil;Air;high. pop.;kg;0.005380063;x;0.000071944;0.001537492;x;x;0.003024386;0.000746241
653;Methane, fossil;Air;low. pop.;kg;0.083967112;x;0.004337;0.039438672;0.002819954;x;0.014753139;0.022618347
654;Methane, fossil;Air;stratosphere + troposphere;kg;1.44759E-11;x;2.886E-13;5.05006E-12;x;x;6.70141E-12;2.43583E-12
655;Methane, monochloro-, R-40;Air;high. pop.;kg;1.71337E-11;x;3.6719E-13;6.26109E-12;x;x;5.17148E-12;5.33392E-12
656;Methane, monochloro-, R-40;Air;low. pop.;kg;1.31843E-09;x;7.2678E-12;1.22798E-10;x;x;7.19357E-10;4.69012E-10
657;Methane, tetrachloro-, CFC-10;Air;;kg;5.08569E-13;x;4.1723E-16;5.98394E-15;x;x;4.17625E-13;8.45425E-14
658;Methane, tetrachloro-, CFC-10;Air;high. pop.;kg;3.35596E-08;x;5.809E-10;1.23357E-08;x;x;8.99646E-09;1.16466E-08
659;Methane, tetrafluoro-, CFC-14;Air;;kg;1.44939E-05;x;1.4435E-08;1.48191E-07;x;x;1.39767E-05;3.54583E-07
660;Methane, tetrafluoro-, CFC-14;Air;high. pop.;kg;3.38199E-10;x;4.0166E-12;7.69816E-11;x;x;1.19455E-10;1.37746E-10
661;Methane, trichlorofluoro-, CFC-11;Air;high. pop.;kg;6.90937E-13;x;9.0416E-15;8.39704E-14;x;x;4.18391E-13;1.79534E-13
662;Methane, trifluoro-, HFC-23;Air;high. pop.;kg;1.35416E-10;x;1.7721E-12;1.64575E-11;x;x;8.19998E-11;3.5187E-11
663;Methanesulfonic acid;Air;high. pop.;kg;4.98285E-11;x;5.9144E-14;3.46644E-13;x;x;1.68849E-11;3.25378E-11
664;Methanol;Air;;kg;1.2374E-05;x;1.8306E-07;3.61103E-06;x;x;6.22367E-06;2.35623E-06
665;Methanol;Air;high. pop.;kg;5.51286E-06;x;1.4485E-07;2.68392E-06;x;x;1.51978E-06;1.16432E-06
666;Methanol;Air;low. pop.;kg;7.09717E-06;x;9.7122E-08;1.90412E-06;x;x;3.29233E-06;1.8036E-06
667;Methanol;Eau;;kg;3.55809E-07;x;4.5443E-09;8.77881E-08;x;x;1.68658E-07;9.48187E-08
668;Methanol;Eau;ocean;kg;8.72124E-07;x;6.5935E-09;1.34058E-07;x;x;3.31132E-07;4.0034E-07
669;Methanol;Eau;river;kg;5.63985E-08;x;6.5597E-10;4.9876E-09;x;x;3.45015E-08;1.62534E-08
670;Methyl acetate;Air;high. pop.;kg;2.0174E-12;x;2.4164E-15;1.44976E-14;x;x;6.83214E-13;1.31727E-12
671;Methyl acetate;Eau;river;kg;4.84149E-12;x;5.7993E-15;3.47933E-14;x;x;1.63961E-12;3.16128E-12
672;Methyl acrylate;Air;high. pop.;kg;1.22783E-09;x;1.646E-11;1.13762E-10;x;x;8.27875E-10;2.6973E-10
673;Methyl acrylate;Eau;river;kg;2.39854E-08;x;3.2156E-10;2.22244E-09;x;x;1.61724E-08;5.26905E-09
674;Methyl amine;Air;high. pop.;kg;2.09621E-11;x;1.2081E-13;1.88254E-12;x;x;7.46608E-12;1.14927E-11
675;Methyl amine;Eau;river;kg;5.03084E-11;x;2.8993E-13;4.51782E-12;x;x;1.79184E-11;2.75823E-11
676;Methyl borate;Air;high. pop.;kg;2.71745E-12;x;3.8769E-15;4.19787E-14;x;x;1.47222E-12;1.19937E-12
677;Methyl ethyl ketone;Air;high. pop.;kg;1.96001E-06;x;2.6246E-08;1.84284E-07;x;x;1.3152E-06;4.34281E-07
678;Methyl formate;Air;high. pop.;kg;7.85033E-12;x;6.83E-14;4.91771E-13;x;x;4.97714E-12;2.31312E-12
679;Methyl formate;Eau;river;kg;3.13416E-12;x;2.7268E-14;1.96337E-13;x;x;1.98706E-12;9.23495E-13
680;Methyl lactate;Air;high. pop.;kg;1.22418E-11;x;1.1655E-13;2.43101E-12;x;x;4.78266E-12;4.91163E-12
681;Metolachlor;Sol;agricultural;kg;4.20355E-06;x;4.9845E-09;2.91324E-08;x;x;1.42354E-06;2.74589E-06
682;Metribuzin;Sol;agricultural;kg;4.33658E-09;x;7.2158E-12;1.05151E-10;x;x;3.29616E-09;9.28059E-10
683;Molybdenum;Brut;in ground;kg;0.000110798;x;3.5601E-07;5.69325E-06;x;x;4.12119E-05;6.35364E-05
684;Molybdenum;Air;;kg;8.5476E-12;x;1.0301E-13;1.98694E-12;x;x;3.07783E-12;3.37983E-12
685;Molybdenum;Air;high. pop.;kg;6.25726E-07;x;2.0825E-08;4.79454E-07;x;x;6.48911E-08;6.05567E-08
686;Molybdenum;Air;low. pop.;kg;4.57853E-08;x;7.5178E-10;1.56119E-08;x;x;1.41196E-08;1.5302E-08
687;Molybdenum;Eau;;kg;2.43269E-10;x;1.9957E-13;2.86235E-12;x;x;1.99766E-10;4.0441E-11
688;Molybdenum;Eau;groundwater;kg;4.71079E-06;x;7.1203E-08;1.47256E-06;x;x;1.81731E-06;1.34971E-06
689;Molybdenum;Eau;ocean;kg;1.17346E-07;x;3.719E-09;1.06112E-07;x;x;4.94078E-09;2.57446E-09
690;Molybdenum;Eau;river;kg;3.4257E-06;x;3.449E-08;6.19382E-07;x;x;1.4918E-06;1.28003E-06
691;Molybdenum;Sol;agricultural;kg;7.5986E-10;x;1.2023E-11;2.37728E-10;x;x;2.56388E-10;2.53721E-10
692;Molybdenum-99;Eau;river;Bq;0.002459939;x;7.0877E-06;4.01856E-05;x;x;0.001085204;0.001327461
693;Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore, in ground;Brut;in ground;kg;0.000323453;x;3.7535E-07;4.97668E-06;x;x;0.000233126;8.49742E-05
694;Molybdenum, 0.014% in sulfide, Mo 8.2E-3% and Cu 0.81% in crude ore, in ground;Brut;in ground;kg;4.61031E-05;x;5.3326E-08;7.08206E-07;x;x;3.32295E-05;1.21121E-05
695;Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore, in ground;Brut;in ground;kg;5.49118E-05;x;1.7657E-07;2.82216E-06;x;x;2.04286E-05;3.14845E-05
696;Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore, in ground;Brut;in ground;kg;0.000168936;x;1.954E-07;2.59503E-06;x;x;0.000121763;4.43827E-05
697;Monoethanolamine;Air;high. pop.;kg;2.28872E-07;x;1.5918E-09;2.0596E-08;x;x;1.7755E-07;2.91338E-08
698;Napropamide;Sol;agricultural;kg;4.61109E-09;x;5.5036E-12;3.32536E-11;x;x;1.59309E-09;2.97924E-09
699;Nickel;Air;;kg;8.83375E-07;x;2.5458E-07;1.29564E-07;x;x;1.69512E-07;3.29719E-07
700;Nickel;Air;high. pop.;kg;1.38742E-05;x;5.0665E-07;1.04319E-05;x;x;1.67068E-06;1.26503E-06
701;Nickel;Air;low. pop.;kg;2.96706E-05;x;2.2295E-07;4.72443E-06;1.53131E-06;x;1.46442E-05;8.54774E-06
702;Nickel;Air;stratosphere + troposphere;kg;2.0266E-14;x;4.0403E-16;7.07004E-15;x;x;9.38174E-15;3.41017E-15
703;Nickel;Sol;;kg;1.13198E-07;x;1.0294E-07;2.67868E-09;x;x;3.50507E-09;4.07444E-09
704;Nickel;Sol;agricultural;kg;1.47217E-08;x;2.8768E-10;5.12192E-09;x;x;5.32576E-09;3.98638E-09
705;Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore, in ground;Brut;in ground;kg;7.48608E-06;x;1.0311E-07;2.07275E-06;x;x;3.22991E-06;2.08031E-06
706;Nickel, 1.98% in silicates, 1.04% in crude ore, in ground;Brut;in ground;kg;0.187182355;x;0.00015223;0.002776519;x;x;0.051075806;0.1331778
707;Nickel, ion;Eau;;kg;2.94611E-06;x;1.2085E-07;3.71608E-07;x;x;7.7486E-07;1.67879E-06
708;Nickel, ion;Eau;groundwater;kg;2.05144E-06;x;1.8975E-08;3.90193E-07;x;x;6.68433E-07;9.7384E-07
709;Nickel, ion;Eau;lake;kg;1.75049E-13;x;2.3405E-15;1.67733E-14;x;x;1.1671E-13;3.92249E-14
710;Nickel, ion;Eau;ocean;kg;2.62497E-07;x;8.0765E-09;2.26219E-07;x;x;1.76196E-08;1.05822E-08
711;Nickel, ion;Eau;river;kg;3.25847E-06;x;3.7904E-08;7.32011E-07;x;x;1.00093E-06;1.48762E-06
712;Niobium-95;Air;low. pop.;Bq;2.43164E-06;x;7.0062E-09;3.97248E-08;x;x;1.07272E-06;1.31219E-06
713;Niobium-95;Eau;river;Bq;0.011291715;x;0.000066613;0.001000338;x;x;0.004848911;0.005375853
714;Nitrate;Air;high. pop.;kg;7.35586E-08;x;2.004E-10;3.77439E-09;x;x;3.3309E-08;3.62748E-08
715;Nitrate;Air;low. pop.;kg;4.08638E-07;x;3.7549E-09;6.74725E-08;x;x;1.58794E-07;1.78616E-07
716;Nitrate;Eau;groundwater;kg;0.000798708;x;2.2882E-06;3.62522E-05;x;x;0.000300701;0.000459466
717;Nitrate;Eau;ocean;kg;0.000126115;x;3.3727E-06;0.000093093;x;x;1.5239E-05;1.441E-05
718;Nitrate;Eau;river;kg;0.000169968;x;5.7497E-06;8.72224E-05;x;x;0.000049502;2.74935E-05
719;Nitrite;Eau;ocean;kg;6.20024E-07;x;6.691E-09;1.25766E-07;x;x;2.32243E-07;2.55325E-07
720;Nitrite;Eau;river;kg;3.14159E-07;x;5.939E-09;1.11661E-07;x;x;1.24602E-07;7.19576E-08
721;Nitrobenzene;Air;high. pop.;kg;8.02044E-11;x;6.5493E-13;1.34281E-11;x;x;3.06458E-11;3.54756E-11
722;Nitrobenzene;Eau;river;kg;3.21416E-10;x;2.6246E-12;5.38138E-11;x;x;1.22811E-10;1.42166E-10
723;Nitrogen;Eau;ocean;kg;2.46551E-06;x;7.7685E-08;2.2161E-06;x;x;1.09769E-07;6.19479E-08
724;Nitrogen;Eau;river;kg;0.000120911;x;3.1454E-06;8.3407E-05;x;x;2.01106E-05;1.42485E-05
725;Nitrogen oxides;Air;;kg;0.054630807;x;0.038945;0.003736606;x;x;0.004962861;0.00698634
726;Nitrogen oxides;Air;high. pop.;kg;0.014073378;x;0.00034185;0.006681293;x;x;0.003761675;0.00328856
727;Nitrogen oxides;Air;low. pop.;kg;0.905267685;x;0.0018748;0.028459704;0.861885057;x;0.005901697;0.007146427
728;Nitrogen oxides;Air;stratosphere + troposphere;kg;4.05317E-09;x;8.0805E-11;1.41401E-09;x;x;1.87635E-09;6.82009E-10
729;Nitrogen, organic bound;Eau;ocean;kg;7.18534E-05;x;2.2786E-06;6.38514E-05;x;x;3.51802E-06;2.20535E-06
730;Nitrogen, organic bound;Eau;river;kg;0.000123907;x;2.8222E-06;3.80824E-05;x;x;5.27438E-05;3.02586E-05
731;NMVOC, non-methane volatile organic compounds, unspecified origin;Air;;kg;0.004731167;x;0.0029158;0.000460977;x;x;0.000597074;0.000757316
732;NMVOC, non-methane volatile organic compounds, unspecified origin;Air;high. pop.;kg;0.041641916;x;0.000030347;0.000617635;x;x;0.021588667;0.019405267
733;NMVOC, non-methane volatile organic compounds, unspecified origin;Air;low. pop.;kg;0.074157412;x;0.0022524;0.024921624;0.042675862;x;0.002346575;0.001960951
734;NMVOC, non-methane volatile organic compounds, unspecified origin;Air;stratosphere + troposphere;kg;1.94251E-10;x;3.8727E-12;6.77673E-11;x;x;8.99248E-11;3.26858E-11
735;Noble gases, radioactive, unspecified;Air;low. pop.;Bq;2363951.547;x;25512;479540.88;x;x;885453.3333;973445.3333
736;o-Xylene;Eau;;kg;2.33586E-10;x;1.9163E-13;2.74835E-12;x;x;1.91816E-10;3.88303E-11
737;Occupation, arable, non-irrigated;Brut;land;m2a;0.019275317;x;0.000023009;0.00013906;x;x;0.006660775;0.012452473
738;Occupation, construction site;Brut;land;m2a;0.004126046;x;0.00011862;0.002778485;x;x;0.000554998;0.000673943
