SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:55;;;;;;;
Projet;_Forest resources database;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Calculation: ;Analyser;;;;;;;;;;;
Results: ;Inventaire;;;;;;;;;;;
Product: ;1 ha _Oak forest rack cleaning by gyratory crusher, in forest/FR U (of project _Forest resources database);;;;;;;;;;;
Méthode: ;;;;;;;;;;;;
Indicateur: ;Inventaire;;;;;;;;;;;
Unité: ;?;;;;;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;;;;;
Per sub-compartment: ;Oui;;;;;;;;;;;
Default units: ;Non;;;;;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;;;;;
Sorted on item: ;Substance;;;;;;;;;;;
Sort order: ;Croissant;;;;;;;;;;;
;;;;;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak forest rack cleaning by gyratory crusher, in forest/FR U;Operation, lorry 3.5-16t, fleet average/RER S;Diesel, at regional storage/RER S;_Tillage, ploughing/CH U_Air emissions of tractor diesel combustion, in forest/FR U;_Tillage, ploughing/CH U_Soil emissions from tyre abrasion of tractor, in forest/FR U;Tractor, production/CH/I S;Agricultural machinery, general, production/CH/I S
53;Actinides, radioactive, unspecified;Eau;ocean;Bq;0.399613776;x;0.0043123;0.081056976;x;x;0.149680833;0.164563667
54;Aerosols, radioactive, unspecified;Air;low. pop.;Bq;0.048588561;x;0.00061842;0.01208298;x;x;0.017532694;0.018354467
55;Aldehydes, unspecified;Air;;kg;4.33448E-10;x;3.5559E-13;5.09986E-12;x;x;3.55939E-10;7.20538E-11
56;Aldehydes, unspecified;Air;high. pop.;kg;2.69311E-07;x;3.9421E-09;7.7069E-08;x;x;1.36441E-07;5.18592E-08
57;Aldehydes, unspecified;Air;low. pop.;kg;1.35554E-07;x;1.2369E-09;2.22113E-08;x;x;5.30486E-08;5.90569E-08
58;Aldrin;Sol;agricultural;kg;2.7878E-11;x;3.7366E-13;2.58979E-12;x;x;1.87811E-11;6.13337E-12
59;Aluminium;Brut;in ground;kg;0.071086018;x;0.000076912;0.000885372;x;x;0.065674361;0.004449373
60;Aluminium;Air;;kg;0.001628707;x;0.000004413;8.32541E-05;x;x;0.000737672;0.000803369
61;Aluminium;Air;high. pop.;kg;9.49481E-05;x;7.8586E-08;1.44686E-06;x;x;3.35961E-05;5.98265E-05
62;Aluminium;Air;low. pop.;kg;3.26273E-05;x;6.2445E-08;1.18952E-06;x;x;9.55472E-06;2.18206E-05
63;Aluminium;Eau;;kg;5.4281E-07;x;1.0236E-08;2.298E-07;x;x;2.0458E-07;9.81931E-08
64;Aluminium;Eau;groundwater;kg;2.39618E-05;x;1.9199E-07;3.88621E-06;x;x;1.1083E-05;8.80057E-06
65;Aluminium;Eau;ocean;kg;0.0001101;x;0.000004197;9.52923E-05;x;x;6.20159E-06;4.40941E-06
66;Aluminium;Eau;river;kg;8.8667E-05;x;0.000001414;3.01676E-05;x;x;2.84227E-05;2.86627E-05
67;Aluminium;Sol;agricultural;kg;4.3732E-06;x;8.0822E-08;1.58517E-06;x;x;1.34075E-06;1.36646E-06
68;Aluminium;Sol;industrial;kg;0.00080788;x;0.000029683;0.000717378;x;x;3.85796E-05;2.22387E-05
69;Ammonia;Air;;kg;0.000794182;x;0.000055114;8.87447E-05;x;x;0.000310639;0.000339685
70;Ammonia;Air;high. pop.;kg;6.66592E-05;x;8.1789E-07;1.73362E-05;x;x;3.41143E-05;1.43908E-05
71;Ammonia;Air;low. pop.;kg;0.00060076;x;3.9939E-06;8.49489E-05;0.0004368;x;2.95372E-05;4.54804E-05
72;Ammonium carbonate;Air;high. pop.;kg;6.96384E-09;x;1.096E-10;1.66652E-09;x;x;3.31088E-09;1.87684E-09
73;Ammonium, ion;Eau;;kg;1.30476E-07;x;1.0704E-10;1.5352E-09;x;x;1.07144E-07;2.16901E-08
74;Ammonium, ion;Eau;groundwater;kg;3.92273E-06;x;1.9079E-08;3.84799E-07;x;x;1.21005E-06;2.3088E-06
75;Ammonium, ion;Eau;ocean;kg;7.66831E-05;x;0.000002434;6.96783E-05;x;x;3.05383E-06;1.51698E-06
76;Ammonium, ion;Eau;river;kg;0.000108342;x;3.6389E-06;4.93169E-05;x;x;2.30874E-05;3.22985E-05
77;Anhydrite;Brut;in ground;kg;1.13674E-06;x;4.915E-09;8.90723E-08;x;x;8.57511E-07;1.85247E-07
78;Aniline;Air;high. pop.;kg;5.43144E-11;x;4.8309E-13;1.00036E-11;x;x;2.10071E-11;2.28206E-11
79;Aniline;Eau;river;kg;1.33859E-10;x;1.1636E-12;2.40349E-11;x;x;5.16043E-11;5.70565E-11
80;Anthranilic acid;Air;high. pop.;kg;6.34886E-12;x;7.6098E-15;4.57373E-14;x;x;2.15003E-12;4.14548E-12
81;Antimony;Air;;kg;4.47186E-10;x;1.1923E-11;1.7365E-10;x;x;1.16983E-10;1.44631E-10
82;Antimony;Air;high. pop.;kg;1.53367E-08;x;1.906E-11;2.89992E-10;x;x;6.00534E-09;9.02233E-09
83;Antimony;Air;low. pop.;kg;1.26635E-06;x;2.0106E-09;3.04231E-08;x;x;9.08494E-07;3.25427E-07
84;Antimony;Eau;;kg;1.19131E-10;x;9.7734E-14;1.40171E-12;x;x;9.78277E-11;1.98039E-11
85;Antimony;Eau;groundwater;kg;6.0629E-07;x;1.0524E-08;2.183E-07;x;x;2.01253E-07;1.76214E-07
86;Antimony;Eau;river;kg;3.03158E-06;x;7.9508E-09;1.32097E-07;x;x;0.000002226;6.65531E-07
87;Antimony;Sol;agricultural;kg;5.74229E-12;x;5.1812E-14;6.64111E-13;x;x;2.94709E-12;2.07928E-12
88;Antimony-122;Eau;river;Bq;0.001529229;x;4.4061E-06;2.49828E-05;x;x;0.000674616;0.000825223
89;Antimony-124;Air;low. pop.;Bq;3.79311E-06;x;1.0929E-08;6.19644E-08;x;x;1.67333E-06;2.04689E-06
