"idp","XCOORD","YCOORD","xl93","yl93","dc","dep"
431308,4.835142,47.775249,837391,6743448,0,"21"
431328,1.791545,42.71063,600844,6179964,0,"9"
431330,0.200713,46.882598,486834,6646470,0,"86"
431351,2.805808,44.652456,684562,6395037,0,"12"
431398,-1.203705,47.874287,385854,6761218,0,"35"
431482,1.878227,50.227276,619820,7015131,8,"80"
431485,4.903163,46.423705,846102,6593489,0,"1"
431597,7.304111,47.894348,1021438,6763848,0,"68"
431715,5.683737,47.681955,901273,6734907,0,"70"
431731,4.267278,48.307757,793919,6801780,0,"10"
431746,7.511127,48.912467,1030422,6877695,8,"67"
431796,3.48486,48.282012,735927,6798275,0,"89"
431803,5.347082,46.916989,878553,6649166,0,"39"
431816,3.664779,47.938373,749595,6760185,0,"89"
431844,1.601626,46.162367,592060,6563661,0,"23"
431894,1.160927,48.587448,564335,6833695,0,"28"
431949,5.307411,46.197773,877869,6569237,8,"1"
432023,-0.460237,42.926932,417291,6209455,0,"64"
432117,3.344982,48.013515,725681,6768382,0,"89"
432119,3.780108,44.320202,762176,6358417,0,"48"
432134,1.781191,43.788833,601845,6299827,0,"81"
432139,0.669278,49.552221,531254,6941906,0,"76"
432147,1.737036,45.623346,601550,6503634,0,"19"
432153,2.483903,46.830435,660620,6637027,0,"18"
432179,1.436776,46.737019,580605,6627705,0,"36"
432200,7.414309,47.925649,1029466,6767775,0,"68"
432256,4.333734,47.928859,799557,6759760,0,"21"
432263,5.305111,48.538078,870103,6829111,0,"55"
432291,-1.054865,43.053579,369478,6225830,0,"64"
432309,6.934534,49.18815,986694,6906058,8,"57"
432347,-0.543392,43.122496,411478,6231479,8,"64"
432363,6.150237,47.865684,935435,6756597,0,"70"
432433,4.772714,47.578611,833207,6721500,0,"21"
432462,3.432381,47.059213,732778,6662398,0,"58"
432464,6.701781,47.413972,978986,6708256,0,"25"
432474,3.753297,50.237895,753764,7016001,0,"59"
432517,6.249908,44.511835,958208,6384713,0,"5"
432536,4.789356,46.786261,836452,6633539,0,"71"
432574,7.206674,48.871277,1008385,6871890,8,"67"
432629,3.598077,46.265715,746022,6574357,0,"3"
432663,5.751995,47.085736,908699,6668892,0,"39"
432760,0.942068,47.649753,545483,6729921,0,"41"
432787,5.836685,46.362755,918004,6588876,0,"39"
432846,5.491014,47.579325,887181,6723037,9,"70"
432859,4.050923,46.637726,780348,6616031,0,"71"
432863,-0.972013,47.593027,401580,6729112,6,"49"
432870,5.009313,48.581104,848153,6833296,0,"52"
432875,2.672005,47.567688,675298,6718842,0,"45"
432909,5.343604,44.972424,884697,6433299,9,"26"
432911,2.806485,47.747107,685458,6738742,0,"45"
432990,5.180244,48.235267,861818,6795204,8,"52"
433043,4.933441,48.69072,842260,6845339,0,"51"
433169,6.414048,48.162924,953715,6790416,9,"88"
433190,6.671732,48.675923,970204,6848236,8,"57"
433193,2.402758,44.779346,652712,6409291,0,"15"
433246,1.938993,49.616966,623248,6947136,0,"60"
433255,4.890488,46.153938,845846,6563516,0,"1"
433398,4.949743,48.474501,844053,6821339,0,"52"
433413,3.850055,47.86416,763517,6752072,0,"89"
433418,1.028496,44.14202,542243,6340283,9,"82"
433452,7.19403,47.862935,1013409,6759920,0,"68"
433459,4.837115,50.076873,831584,6999345,0,"8"
433479,3.773944,48.998073,756591,6878050,8,"51"
433603,5.478277,46.913475,888545,6649081,0,"39"
433607,0.520828,45.952192,507954,6542380,0,"16"
433629,5.415436,48.571239,878131,6833039,0,"55"
433654,4.727543,47.165578,830816,6675554,0,"21"
433684,5.044908,44.566161,862326,6387535,0,"26"
433743,0.75543,49.445575,537151,6929864,8,"76"
433772,6.583773,47.598518,969167,6728326,8,"70"
433880,-0.367039,48.778269,452611,6858605,0,"61"
434029,5.072372,47.715928,855326,6737299,8,"52"
434061,4.932053,49.751496,839271,6963297,8,"8"
434088,-0.373514,45.250075,435396,6467046,0,"17"
434120,3.456083,46.933026,734658,6648393,0,"58"
434177,2.326456,47.586162,649335,6721059,0,"18"
434240,3.051362,46.12652,703925,6558726,0,"3"
434244,6.142588,48.874049,930404,6868567,0,"54"
434320,7.434768,47.582286,1033133,6729771,8,"68"
434348,6.198382,47.792069,939363,6748569,0,"70"
434366,4.435346,47.117281,808783,6669747,0,"21"
434385,5.379066,46.087819,883760,6557196,7,"1"
434396,1.339402,46.340315,572245,6583810,8,"87"
434429,1.008545,42.865425,537069,6198475,0,"9"
434467,3.915977,49.176029,766754,6897952,0,"51"
434481,5.390311,44.899134,888624,6425273,0,"26"
434514,2.059199,42.765551,622868,6185773,0,"11"
434523,-0.879496,42.987063,383396,6217725,0,"64"
434557,5.160843,44.869231,870608,6421431,0,"26"
434608,6.313117,49.318333,940829,6918448,9,"57"
434693,2.17156,46.092666,635953,6555301,0,"23"
434756,3.855485,49.913453,761454,6979953,8,"2"
434777,3.619555,48.280618,745920,6798190,0,"10"
434802,4.75271,46.553019,834232,6607579,0,"71"
434805,5.017833,46.637103,854300,6617399,0,"71"
434812,4.121539,47.194553,784871,6677944,0,"58"
434822,2.604296,44.671122,668595,6397170,0,"12"
434827,2.298411,49.599658,649216,6944920,8,"60"
434851,6.029291,48.049629,925615,6776668,0,"88"
434910,2.975827,48.519641,698174,6824578,0,"77"
434959,5.630621,45.108299,906811,6449094,0,"38"
434973,1.895509,45.048331,613004,6439596,8,"19"
434979,3.490189,44.845308,738692,6416559,9,"43"
435113,1.689863,47.458431,601256,6707472,0,"41"
435162,2.784477,45.138263,683018,6448999,0,"15"
435170,5.516332,45.777894,895458,6523125,0,"1"
435172,2.966671,45.515221,697357,6490840,8,"63"
435235,1.527185,49.435262,593100,6927399,8,"27"
435251,5.688569,49.445269,894962,6930836,0,"54"
435257,-1.34142,47.545891,373569,6725344,0,"44"
435280,2.17291,45.642819,635534,6505347,0,"19"
435343,2.352146,44.401646,648364,6367369,0,"12"
