"idp","xl93","yl93","dc","dep"
706693,446801,6275141,0,"64"
706756,831917,6687536,0,"21"
706878,618868,6543454,0,"23"
706915,609755,6887283,0,"75"
707011,726211,6476609,0,"43"
707013,496745,6274728,0,"32"
707084,942085,6716569,8,"70"
707137,975235,6852190,8,"57"
707184,678729,6532961,0,"63"
707266,608250,6707413,0,"41"
707309,733625,6644405,0,"58"
707329,788966,6571994,8,"71"
707359,376961,6529471,0,"17"
707373,857280,6615375,8,"71"
707530,913987,6702821,0,"70"
707531,593087,6207998,0,"09"
707560,928596,6774644,8,"88"
707570,848485,6755345,8,"52"
707653,937744,6908480,0,"57"
707713,604196,6461649,9,"19"
707749,620291,6713308,0,"41"
707803,769931,6448265,0,"43"
707917,556491,6731828,0,"41"
707947,804502,6753722,0,"21"
707972,664389,6491118,0,"63"
707991,1022888,6815800,7,"67"
708024,576643,6751646,0,"41"
708071,674211,6471053,0,"15"
708095,867191,6839129,0,"55"
708198,201029,6766717,0,"29"
708201,728465,6388673,0,"48"
708253,644792,6775060,0,"45"
708321,507028,6792198,0,"72"
708407,860867,6567384,0,"01"
708420,919808,6914631,0,"57"
708421,682966,6798723,0,"77"
708424,965155,6842283,0,"54"
708442,683050,6808715,0,"77"
708485,471864,6406801,0,"33"
708522,887692,6898917,8,"55"
708608,846008,6699407,0,"21"
708730,730796,6782329,9,"89"
708777,762837,6554231,0,"03"
708848,568581,6503909,0,"87"
708850,911005,6820765,0,"88"
708853,974975,6822211,0,"54"
708886,847290,6849293,0,"51"
708964,880769,6791044,0,"52"
708998,517109,6200639,0,"31"
709018,371721,6377654,0,"40"
709021,746174,6710249,8,"89"
709073,718101,6462691,0,"43"
709097,649926,6315407,0,"81"
709103,869583,6885080,0,"55"
709206,863605,6887131,0,"55"
709231,443470,6840692,9,"61"
709299,900487,6527079,0,"01"
709317,532300,6466245,0,"24"
709385,743194,6594364,0,"03"
709395,806474,6515893,8,"42"
709400,653021,6565149,0,"23"
709450,641988,6679151,0,"18"
709475,675106,6814778,8,"77"
709479,498213,6210784,0,"65"
709481,848400,6745353,8,"52"
709526,550565,6500062,0,"87"
709533,527152,6568198,8,"86"
709579,378598,6241738,9,"64"
709585,843702,6663453,0,"21"
709642,380399,6217749,0,"64"
709643,852499,6757309,0,"52"
709661,952940,6816406,0,"88"
709706,849511,6875259,0,"55"
709724,919887,6343085,0,"04"
709812,437737,6872719,0,"14"
709836,289318,6809973,0,"22"
