Slope;Species;Pred;Lower95;Upper95
14.0;Fir;0.30760249426429126;0.280535903573208;0.335418309538158
15.0;Fir;0.303714510406463;0.2771795144669751;0.331121333366982
16.0;Fir;0.2998646029332403;0.27378539493965837;0.3269215938704685
17.0;Fir;0.29605272756638135;0.2704001849469426;0.3226763671658591
18.0;Fir;0.2922788287314112;0.26703251387031446;0.3186246683888396
19.0;Fir;0.2885428399202043;0.2636537005032965;0.3146610669276777
20.0;Fir;0.28484468404878044;0.26024989787968744;0.31051982224475916
21.0;Fir;0.281184273810122;0.2567684039315653;0.30662754227274314
22.0;Fir;0.2775615120218715;0.2533588768783761;0.302691272025324
23.0;Fir;0.273976291968774;0.25007999822749905;0.29892408308588614
24.0;Fir;0.2704284977397686;0.24681211117720514;0.29519326388560907
25.0;Fir;0.2669180045595773;0.24356293032447252;0.29135890676110177
26.0;Fir;0.26344467911474523;0.2403349030103522;0.28768816916839657
27.0;Fir;0.26000837987401126;0.23709598588104386;0.2841396869187759
28.0;Fir;0.2566089574029742;0.2338996649541446;0.2803737927259057
29.0;Fir;0.25324625467294903;0.23074336201865508;0.276869549623425
30.0;Fir;0.24992010736401823;0.22753743800018977;0.27338323287637734
31.0;Fir;0.24663034416218377;0.2243228666498902;0.2699400363659147
32.0;Fir;0.24337678705063437;0.221206695949545;0.2665257464387054
33.0;Fir;0.24015925159507137;0.21804348586526834;0.26312466985332916
34.0;Fir;0.23697754722310133;0.21491550441375062;0.25990503282614563
35.0;Fir;0.2338314774976786;0.21178216494002755;0.25670333097756626
36.0;Fir;0.23072084038460572;0.20864543895286924;0.25349671705572807
37.0;Fir;0.2276454285140967;0.20576134917631117;0.2503248735429059
38.0;Fir;0.22460502943641336;0.2027570979974399;0.24721277515104556
39.0;Fir;0.22159942587161618;0.19980565459654998;0.24417743567724848
40.0;Fir;0.21862839595341876;0.1969146946936332;0.24117650100001564
41.0;Fir;0.21569171346722874;0.19408190547490545;0.2382922803598666
42.0;Fir;0.2127891480823737;0.1912664608061685;0.23519450974520695
43.0;Fir;0.20992046557856184;0.1884722621132815;0.23228163302068328
44.0;Fir;0.20708542806665312;0.1857534343955478;0.22926686901178295
45.0;Fir;0.2042837942037392;0.18303044565165583;0.2264188679487691
46.0;Fir;0.201515319402648;0.18035896601348034;0.22363740208812166
47.0;Fir;0.19877975603588263;0.17772000562663892;0.22083506233799344
48.0;Fir;0.19607685363408422;0.17503952855656968;0.21807724606023715
49.0;Fir;0.19340635907907583;0.1723988293782036;0.21536230162209602
50.0;Fir;0.1907680167915485;0.1698042776723968;0.21268329588828216
51.0;Fir;0.18816156891347532;0.1671774227491517;0.21001900821624764
52.0;Fir;0.18558675548531206;0.1646778725276753;0.20734773525244587
53.0;Fir;0.1830433146180623;0.1621864760460503;0.2048082999361298
54.0;Fir;0.1805309826602938;0.1597026942622829;0.20229366659794557
55.0;Fir;0.17804949436016707;0.15722718850657835;0.19972065972959419
56.0;Fir;0.17559858302256562;0.15481004740747684;0.1973040688114197
57.0;Fir;0.17317798066141646;0.15236736688761965;0.19490207184851727
58.0;Fir;0.1707874181472639;0.14997747575467324;0.19252274021546656
59.0;Fir;0.16842662535019326;0.147625378468903;0.19016262612818124
60.0;Fir;0.1660953312781869;0.1453525429349527;0.18782704511973958
61.0;Fir;0.16379326421099194;0.14306008659860525;0.18547639729454635
62.0;Fir;0.1615201518295879;0.14082532348319698;0.18325535006891724
63.0;Fir;0.15927572134133838;0.13859291988166622;0.1810262809516734
64.0;Fir;0.1570596996009113;0.1364210225784731;0.17892827775065556
65.0;Fir;0.15487181322705365;0.13427628530646363;0.17669154932396192
66.0;Fir;0.1527117887153062;0.13219928723381802;0.17450380038834734
67.0;Fir;0.15057935254674784;0.13011297083220763;0.1723257783105806
68.0;Fir;0.14847423129284118;0.12805159981326475;0.17021524270170085
69.0;Fir;0.14639615171648188;0.12606324742489827;0.16806675170943863
70.0;Fir;0.1443448408693206;0.12408726661938252;0.16597296461596067
