SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:48;;;
Projet;_Forest resources database;;;;;;;
;;;;;;;;
;;;;;;;;
Calculation: ;Analyser;;;;;;;
Results: ;Inventaire;;;;;;;
Product: ;1 m3 _Oak industrial roundwood, manually felled, 80% water on dry mass basis, in forest/FR U (of project _Forest resources database);;;;;;;
Méthode: ;;;;;;;;
Indicateur: ;Inventaire;;;;;;;
Unité: ;?;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;
Per sub-compartment: ;Oui;;;;;;;
Default units: ;Non;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;
Sorted on item: ;Substance;;;;;;;
Sort order: ;Croissant;;;;;;;
;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak industrial roundwood, manually felled, 80% water on dry mass basis, in forest/FR U;_Power sawing, without catalytic converter/hr/RER_357XP/Husqvarna U (2009);Operation, passenger car, diesel, fleet average/RER S
129;Benzene;Air;low. pop.;kg;7.15025E-07;x;6.58813E-07;5.62113E-08
130;Benzene;Air;stratosphere + troposphere;kg;1.21433E-12;x;1.20394E-12;1.039E-14
131;Benzene;Eau;;kg;2.84337E-11;x;2.71196E-11;1.31415E-12
132;Benzene;Eau;ocean;kg;1.68006E-06;x;1.54456E-06;1.35501E-07
133;Benzene;Eau;river;kg;2.73624E-06;x;2.40684E-06;3.294E-07
134;Benzene, 1-methyl-2-nitro-;Air;high. pop.;kg;3.69756E-15;x;2.88444E-15;8.13116E-16
135;Benzene, 1,2-dichloro-;Air;high. pop.;kg;8.99232E-14;x;7.21989E-14;1.77244E-14
136;Benzene, 1,2-dichloro-;Eau;river;kg;3.53315E-10;x;3.49511E-10;3.80443E-12
137;Benzene, chloro-;Eau;river;kg;7.29104E-09;x;7.21331E-09;7.77334E-11
138;Benzene, ethyl-;Air;high. pop.;kg;6.72482E-06;x;6.5611E-06;1.63728E-07
139;Benzene, ethyl-;Air;low. pop.;kg;1.66877E-12;x;1.55233E-12;1.16447E-13
140;Benzene, ethyl-;Eau;;kg;1.59807E-12;x;1.52421E-12;7.38596E-14
141;Benzene, ethyl-;Eau;ocean;kg;4.8853E-07;x;4.49124E-07;3.94058E-08
142;Benzene, ethyl-;Eau;river;kg;1.00822E-06;x;8.86977E-07;1.21243E-07
143;Benzene, hexachloro-;Air;;kg;1.11081E-10;x;1.03019E-10;8.06193E-12
144;Benzene, hexachloro-;Air;high. pop.;kg;1.0193E-12;x;9.60333E-13;5.89715E-14
145;Benzene, pentachloro-;Air;high. pop.;kg;2.55815E-12;x;2.41015E-12;1.48001E-13
146;Benzo(a)pyrene;Air;;kg;6.5421E-10;x;6.29315E-10;2.48949E-11
147;Benzo(a)pyrene;Air;high. pop.;kg;2.96344E-11;x;2.79591E-11;1.67531E-12
148;Benzo(a)pyrene;Air;low. pop.;kg;2.36933E-09;x;2.21442E-09;1.54911E-10
149;Beryllium;Air;;kg;1.42615E-11;x;1.26477E-11;1.6138E-12
150;Beryllium;Air;high. pop.;kg;1.01509E-10;x;1.00298E-10;1.21126E-12
151;Beryllium;Air;low. pop.;kg;7.4129E-11;x;7.26654E-11;1.46368E-12
152;Beryllium;Eau;;kg;1.69961E-13;x;1.62106E-13;7.85514E-15
153;Beryllium;Eau;groundwater;kg;5.11563E-10;x;4.84188E-10;2.73753E-11
154;Beryllium;Eau;river;kg;3.10639E-11;x;2.89445E-11;2.11946E-12
155;BOD5, Biological Oxygen Demand;Eau;;kg;2.99409E-06;x;2.82317E-06;1.70918E-07
156;BOD5, Biological Oxygen Demand;Eau;groundwater;kg;5.53034E-09;x;5.18841E-09;3.41935E-10
157;BOD5, Biological Oxygen Demand;Eau;ocean;kg;0.002053153;x;0.001853158;0.000199995
158;BOD5, Biological Oxygen Demand;Eau;river;kg;0.011080446;x;0.010177601;0.000902845
159;Borate;Eau;river;kg;2.12112E-12;x;1.91506E-12;2.06068E-13
160;Borax;Brut;in ground;kg;3.658E-09;x;3.16501E-09;4.92993E-10
161;Boron;Air;;kg;1.38139E-16;x;1.28324E-16;9.8149E-18
162;Boron;Air;high. pop.;kg;3.64693E-08;x;3.6107E-08;3.62367E-10
163;Boron;Air;low. pop.;kg;1.21213E-06;x;1.13586E-06;7.62622E-08
164;Boron;Eau;;kg;5.32325E-11;x;5.07723E-11;2.46028E-12
165;Boron;Eau;groundwater;kg;8.18359E-07;x;7.97903E-07;2.04563E-08
166;Boron;Eau;ocean;kg;1.68653E-07;x;1.5523E-07;1.3423E-08
167;Boron;Eau;river;kg;2.76421E-07;x;2.45115E-07;3.13058E-08
168;Boron;Sol;;kg;1.20894E-08;x;1.08813E-08;1.20817E-09
169;Boron;Sol;agricultural;kg;2.14441E-10;x;1.88488E-10;2.59536E-11
170;Boron;Sol;industrial;kg;2.86544E-07;x;2.59762E-07;2.67822E-08
171;Boron trifluoride;Air;high. pop.;kg;2.02119E-17;x;2.00031E-17;2.0883E-19
172;Bromate;Eau;river;kg;7.05148E-08;x;6.53611E-08;5.15372E-09
173;Bromide;Eau;river;kg;3.48989E-10;x;3.14449E-10;3.45405E-11
174;Bromine;Brut;in water;kg;3.42875E-10;x;3.08931E-10;3.39439E-11
175;Bromine;Air;;kg;1.13293E-16;x;1.0526E-16;8.0329E-18
176;Bromine;Air;high. pop.;kg;3.50119E-09;x;3.32725E-09;1.7394E-10
177;Bromine;Air;low. pop.;kg;1.32549E-07;x;1.24214E-07;8.33459E-09
178;Bromine;Eau;;kg;3.6344E-09;x;3.46643E-09;1.67974E-10
179;Bromine;Eau;groundwater;kg;3.49802E-08;x;3.27777E-08;2.20249E-09
180;Bromine;Eau;ocean;kg;1.42462E-05;x;1.30971E-05;1.14914E-06
181;Bromine;Eau;river;kg;2.96735E-05;x;2.6121E-05;3.55249E-06
182;Butadiene;Air;;kg;2.6843E-12;x;2.66133E-12;2.29668E-14
183;Butadiene;Air;high. pop.;kg;6.64932E-15;x;6.10775E-15;5.41576E-16
184;Butadiene;Air;low. pop.;kg;1.89295E-13;x;1.87675E-13;1.61966E-15
185;Butadiene;Air;stratosphere + troposphere;kg;1.15044E-12;x;1.14059E-12;9.84323E-15
186;Butane;Air;;kg;1.71425E-10;x;1.63502E-10;7.92295E-12
187;Butane;Air;high. pop.;kg;5.81023E-05;x;5.10749E-05;7.02744E-06
188;Butane;Air;low. pop.;kg;1.72274E-06;x;1.59694E-06;1.25799E-07
189;Butene;Air;high. pop.;kg;1.34124E-06;x;1.17762E-06;1.63615E-07
190;Butene;Eau;river;kg;4.03372E-09;x;4.03028E-09;3.43759E-12
191;Butyl acetate;Eau;river;kg;1.07302E-09;x;1.06185E-09;1.11716E-11
192;Butyrolactone;Air;high. pop.;kg;7.59178E-13;x;7.51195E-13;7.98279E-15
193;Butyrolactone;Eau;river;kg;1.82205E-12;x;1.80289E-12;1.91585E-14
194;Cadmium;Brut;in ground;kg;2.70074E-08;x;1.8039E-08;8.96843E-09
195;Cadmium;Air;;kg;1.76418E-09;x;4.13981E-10;1.35019E-09
196;Cadmium;Air;high. pop.;kg;5.22814E-08;x;4.85313E-08;3.75008E-09
197;Cadmium;Air;low. pop.;kg;1.28266E-08;x;1.24396E-08;3.86959E-10
198;Cadmium;Air;stratosphere + troposphere;kg;6.08694E-16;x;6.03486E-16;5.20808E-18
199;Cadmium;Sol;;kg;1.84813E-10;x;9.00636E-12;1.75806E-10
200;Cadmium;Sol;agricultural;kg;1.19528E-10;x;1.14118E-10;5.41062E-12
201;Cadmium, ion;Eau;;kg;3.93449E-09;x;3.4657E-09;4.68791E-10
202;Cadmium, ion;Eau;groundwater;kg;7.22558E-10;x;6.95036E-10;2.75223E-11
203;Cadmium, ion;Eau;lake;kg;4.98878E-15;x;4.93631E-15;5.24721E-17
204;Cadmium, ion;Eau;ocean;kg;5.54744E-09;x;5.10845E-09;4.38993E-10
205;Cadmium, ion;Eau;river;kg;6.41122E-09;x;5.73733E-09;6.73885E-10
206;Calcite;Brut;in ground;kg;0.011819098;x;0.01079154;0.001027558
207;Calcium;Air;high. pop.;kg;4.86155E-07;x;4.59126E-07;2.70283E-08
208;Calcium;Air;low. pop.;kg;8.85616E-09;x;8.14541E-09;7.10746E-10
209;Calcium;Sol;agricultural;kg;1.45237E-06;x;1.36582E-06;8.65487E-08
210;Calcium;Sol;industrial;kg;0.00011462;x;0.000103907;1.07131E-05
211;Calcium, ion;Eau;;kg;5.45159E-08;x;5.19963E-08;2.51959E-09
212;Calcium, ion;Eau;groundwater;kg;3.70252E-05;x;3.48716E-05;2.15363E-06
213;Calcium, ion;Eau;lake;kg;1.77111E-08;x;1.71527E-08;5.58378E-10
214;Calcium, ion;Eau;ocean;kg;0.000645061;x;0.000593037;5.20241E-05
215;Calcium, ion;Eau;river;kg;0.001317483;x;0.00116134;0.000156143
216;Carbetamide;Sol;agricultural;kg;6.64316E-12;x;5.17184E-12;1.47131E-12
217;Carbofuran;Sol;agricultural;kg;7.57808E-10;x;6.84384E-10;7.34241E-11
218;Carbon;Sol;agricultural;kg;5.57479E-07;x;5.23292E-07;3.41864E-08
219;Carbon;Sol;industrial;kg;8.59641E-05;x;7.79292E-05;8.03485E-06
220;Carbon-14;Air;low. pop.;Bq;3.449026728;x;3.1980064;0.251020328
221;Carbon dioxide, biogenic;Air;;kg;0.000269686;x;0.000248343;2.13433E-05
222;Carbon dioxide, biogenic;Air;high. pop.;kg;0.00453765;x;0.004291392;0.000246258
223;Carbon dioxide, biogenic;Air;low. pop.;kg;0.000948259;x;0.000909409;3.88499E-05
224;Carbon dioxide, fossil;Air;;kg;0.371801545;x;0.024661217;0.347140328
225;Carbon dioxide, fossil;Air;high. pop.;kg;0.341541216;x;0.3188382;0.022703016
226;Carbon dioxide, fossil;Air;low. pop.;kg;1.060305442;x;1.032551213;0.02775423
227;Carbon dioxide, fossil;Air;stratosphere + troposphere;kg;1.91734E-07;x;1.90094E-07;1.64054E-09
228;Carbon dioxide, in air;Brut;in air;kg;0.006040105;x;0.005734341;0.000305764
229;Carbon dioxide, land transformation;Air;low. pop.;kg;1.87122E-05;x;1.72339E-05;1.47825E-06
230;Carbon disulfide;Air;;kg;2.22149E-18;x;2.11882E-18;1.02673E-19
231;Carbon disulfide;Air;high. pop.;kg;1.24578E-12;x;1.17818E-12;6.76009E-14
232;Carbon disulfide;Air;low. pop.;kg;1.2845E-06;x;1.25604E-06;2.84571E-08
233;Carbon disulfide;Eau;river;kg;1.07704E-12;x;1.01241E-12;6.46265E-14
234;Carbon monoxide, biogenic;Air;high. pop.;kg;5.80176E-07;x;5.52696E-07;2.74798E-08
235;Carbon monoxide, biogenic;Air;low. pop.;kg;1.26997E-05;x;1.26718E-05;2.78888E-08
236;Carbon monoxide, fossil;Air;;kg;0.000650517;x;0.000337033;0.000313483
237;Carbon monoxide, fossil;Air;high. pop.;kg;9.87602E-05;x;9.32877E-05;5.47241E-06
238;Carbon monoxide, fossil;Air;low. pop.;kg;0.367038518;x;0.36699614;4.23785E-05
239;Carbon monoxide, fossil;Air;stratosphere + troposphere;kg;2.25211E-10;x;2.23284E-10;1.927E-12
240;Carbon, in organic matter, in soil;Brut;in ground;kg;9.57183E-07;x;8.6444E-07;9.27437E-08
241;Carbonate;Eau;river;kg;5.42127E-07;x;5.31782E-07;1.03441E-08
242;Carboxylic acids, unspecified;Eau;ocean;kg;0.00011464;x;0.000105395;9.24445E-06
243;Carboxylic acids, unspecified;Eau;river;kg;0.000154588;x;0.000135998;1.85902E-05
244;Cerium-141;Air;low. pop.;Bq;7.83239E-07;x;6.20957E-07;1.62282E-07
245;Cerium-141;Eau;river;Bq;3.36067E-06;x;2.66437E-06;6.96299E-07
246;Cerium-144;Eau;river;Bq;1.02309E-06;x;8.1111E-07;2.11981E-07
247;Cesium;Eau;ocean;kg;2.03519E-08;x;1.87103E-08;1.64162E-09
248;Cesium;Eau;river;kg;4.20077E-08;x;3.69563E-08;5.05139E-09
249;Cesium-134;Air;low. pop.;Bq;3.75123E-08;x;2.974E-08;7.77228E-09
250;Cesium-134;Eau;river;Bq;0.000784078;x;0.000731016;5.30616E-05
251;Cesium-136;Eau;river;Bq;5.96457E-07;x;4.72877E-07;1.2358E-07
252;Cesium-137;Air;low. pop.;Bq;6.64971E-07;x;5.27195E-07;1.37776E-07
253;Cesium-137;Eau;ocean;Bq;0.647785532;x;0.603197467;0.044588066
254;Cesium-137;Eau;river;Bq;0.002638331;x;0.002326529;0.000311801
255;Chloramine;Air;high. pop.;kg;4.11504E-14;x;3.71148E-14;4.03566E-15
256;Chloramine;Eau;river;kg;3.69701E-13;x;3.33119E-13;3.65819E-14
